Original_name,Cleaned_name, filter
Social housing regulatory authority,Social housing regulatory authority,TRUE
South african airways (pty) limited,South african airways (pty) limited,TRUE
South african broadcasting corporation limited,South african broadcasting corporation limited,TRUE
South African Forestry Company,South African Forestry Company,TRUE
South african heritage resources agency,South african heritage resources agency,TRUE
South african library for the blind,South african library for the blind,TRUE
South african local government association,South african local government association,TRUE
South african national biodiversity institute,South african national biodiversity institute,TRUE
South african national park,South african national parks,FALSE
South african national parks,South african national parks,TRUE
sansa,South african national space agency,FALSE
South african national space agency,South african national space agency,TRUE
South african national space agency (sansa),South african national space agency,FALSE
South african revenue service,South african revenue services,FALSE
South african revenue services,South african revenue services,TRUE
South african social security agency,South african social security agency,TRUE
Sassa,South african social security agency,FALSE
Special investigation unit,Special investigation unit,TRUE
"Sport, arts and culture","Sport, arts and culture",TRUE
State diamond trader,State diamond trader,TRUE
State information technology agency,State information technology agency,TRUE
State security agency,State security agency,TRUE
Statistics south africa,Statistics south africa,TRUE
Stellenbosch municipality,Stellenbosch municipality,TRUE
Swartland municipality,Swartland municipality,TRUE
Swellendam municipality,Swellendam municipality,TRUE
Technology innovation agency,Technology innovation agency,TRUE
Thaba chweu local municipality,Thaba chweu local municipality,TRUE
Lgseta,The Local Government Sector Education and Training Authority (Lgseta),FALSE
The market theatre foundation,The market theatre foundation,TRUE
The playhouse company,The playhouse company,TRUE
The presidency,The presidency,TRUE
The richards bay industrial development zone,The richards bay industrial development zone,TRUE
The south african institute for drug-free sport,The south african institute for drug-free sport,TRUE
The south african national roads agency limited,The south african national roads agency limited,TRUE
The south african state theatre,The south african state theatre,TRUE
Theewaterkloof municipality,Theewaterskloof municipality,FALSE
Theewaterskloof municipality,Theewaterskloof municipality,TRUE
Thembisile hani local municipality,Thembisile hani local municipality,TRUE
Thulamela municipality,Thulamela municipality,TRUE
Tokologo local municipality,Tokologo local municipality,TRUE
Trade & industry,Trade & industry,TRUE
Trans-caledon tunnel authority,Trans-caledon tunnel authority,TRUE
Transnet soc ltd,Transnet soc ltd,TRUE
Transport,Transport,TRUE
Transport education and training authority,Transport education and training authority,TRUE
Umdoni local municipality,Umdoni local municipality,TRUE
Umgeni water,Umgeni water,TRUE
Umsunduzi museum,Umsunduzi museum,TRUE
Umuziwabantu local municipality,Umuziwabantu local municipality,TRUE
Umzimkhulu municipality,Umzimkhulu municipality,TRUE
Umzimvubu  local  municipality,Umzimvubu local municipality,FALSE
Umzimvubu local municipality,Umzimvubu local municipality,TRUE
Unemployment insurance fund,Unemployment insurance fund,TRUE
Vhembe district municipality,Vhembe district municipality,TRUE
Victor khanye local municipality,Victor khanye local municipality,TRUE
Walter sisulu local municipality,Walter sisulu local municipality,TRUE
War museum of the boer republics,War museum of the boer republics,TRUE
Water research commission,Water research commission,TRUE
Waterberg district municipality,Waterberg district municipality,TRUE
Wc public entities,Wc public entities,TRUE
West coast district municipality,West coast district municipality,TRUE
West rand district municipality,West rand district municipality,TRUE
Western cape - agriculture,Western cape - agriculture,TRUE
Western cape - casidra (pty) ltd,Western cape - casidra,FALSE
Western cape - casidra (soc) ltd,Western cape - casidra,FALSE
Western cape - community safety,Western cape - community safety,TRUE
Western cape - cultural affairs and sport,Western cape - cultural affairs and sport,TRUE
Western cape - economic development and tourism,Western cape - economic development and tourism,TRUE
Western cape - education,Western cape - education,TRUE
Western cape - environmental affairs and development,Western cape - environmental affairs and development,TRUE
Western cape - western cape gambling and racing board,Western cape - gambling and racing board,FALSE
Western cape - health,Western cape - health,TRUE
Western cape - human settlements,Western cape - human settlements,TRUE
Western cape - western cape investments and trade promotion agency,Western cape - investments and trade promotion agency,FALSE
Western cape - western cape liquor board,Western cape - liquor board,FALSE
Western cape - local government,Western cape - local government,TRUE
Western cape - western cape nature conservation board,Western cape - nature conservation board,FALSE
Western cape - office of the premier,Western cape - office of the premier,TRUE
Western cape - provincial treasury,Western cape - provincial treasury,TRUE
Western cape - social development,Western cape - social development,TRUE
Western cape - transport and public works,Western cape - transport and public works,TRUE
William humphreys art gallery,William humphreys art gallery,TRUE
Witzenberg local municipality,Witzenberg municipality,FALSE
Witzenberg municipality,Witzenberg municipality,TRUE
Xhariep district municipality,Xhariep district municipality,TRUE
Education.,Gauteng - education,FALSE
