Item_desp,pay_num,category
Gown surgical l/sleeve xl jade green,1692500,gown
DISPENSER,0,DISPENSER
Ebow foam soap dispenser,0,dispenser
Gown surgical l/sleeves large maz blue,3542460,gown
Gown surgical l/sleeves medium maz blue,2491480,gown
"Full service (Battery change of al 53 automatic Dispensers to a total of 212 Batteries), i.e. 106 packs @ R125,00 per pack of 2 batteries",15238,"Full service (Battery change of al 53 automatic Dispensers to a total of 212 Batteries), i.e. 106 packs @ R125,00 per pack of 2 batteries"
hand free sanitizer dispenser,0,dispenser
Gown surgical l/sleeves xxlarge maz blue,1608640,gown
Maual paper towel dispenser,0,dispenser
Gown surgical l/sleeves xxx-l jade green,204000,gown
Gown surgical large non-wov blue sterile,23830,gown
Gown surgical long sleeve xxx large,127500,gown
Gown surgical med non-woven blue sterile,23140,gown
"Supply and install automated foam hand soap dispenser @ R2 600,00 /dispenser (JHBE19/266-Quote  1 dd 24/04/2020)",78000,"Supply and install automated foam hand soap dispenser @ R2 600,00 /dispenser (JHBE19/266-Quote  1 dd 24/04/2020)"
Gown surgical sml non-woven blue sterile,681738,gown
Gown surgical sterile non-woven xl blue,301473,gown
DISPENSER - SOAP/TOWEL PAPER/TOILET PAPER HOLDERS/HAND SANITIZER REFILL,3223102,DISPENSER - SOAP/TOWEL PAPER/TOILET PAPER HOLDERS/HAND SANITIZER REFILL
Dispenser liquid hand soap 1l capacity,0,Dispenser liquid hand soap 1l capacity
Dispenser liquid hand soap 800ml refill,0,Dispenser liquid hand soap 800ml refill
Dispenser paper towel roll 205x444mm s/p,0,Dispenser paper towel roll 205x444mm s/p
Dispenser restorative capsule gun 0 25g,6776,Dispenser restorative capsule gun 0 25g
Dispenser soap wall mounted 120x250x90mm,0,Dispenser soap wall mounted 120x250x90mm
Disposable aprons 100 p/b,0,Disposable aprons 100 p/b
"Disposable aprons, wipes & sanitizers",1912,"Disposable aprons, wipes & sanitizers"
"Disposable coverall Large for 10 @ R110,00 each",1265,"Disposable coverall Large for 10 @ R110,00 each"
Disposable coverall X-Large for 10 @ R110 each,1265,Disposable coverall X-Large for 10 @ R110 each
Disposable coveralls,69000,Disposable coveralls
Disposable Drawsheets,7890,Disposable Drawsheets
Disposable latex gloves,0,Disposable latex gloves
Disposable Nappies,19798,Disposable Nappies
Disposable Overall,0,Disposable Overall
DISPOSABLE OVERALL LARGE ; @ R110.00 / overall; JHBE19/266-Quote  2 dd 01 June 2020,6600,DISPOSABLE OVERALL LARGE ; @ R110.00 / overall; JHBE19/266-Quote  2 dd 01 June 2020
"DISPOSABLE OVERALL MEDIUM ; @ R110,00 / overall; JHBE19/266-Quote  2 dd 01 June 2020",25740,"DISPOSABLE OVERALL MEDIUM ; @ R110,00 / overall; JHBE19/266-Quote  2 dd 01 June 2020"
"DISPOSABLE OVERALL X-LARGE ; R110,00 / overall; JHBE19/266-Quote  2 dd 01 June 2020",660,"DISPOSABLE OVERALL X-LARGE ; R110,00 / overall; JHBE19/266-Quote  2 dd 01 June 2020"
Disposable Overalls,1937,Disposable Overalls
DISPOSABLE STERILIZED PPE TENDER,8072,DISPOSABLE STERILIZED PPE TENDER
Disposable travel motion sickness bags,0,Disposable travel motion sickness bags
Disposal Cover Rolls,0,Disposal Cover Rolls
Disposal Musk,0,Disposal Musk
Docking Station,0,Docking Station
Domestos 5L,66000,Domestos 5L
DONATION,45000,DONATION
Donations in support of the Piketberg Foodbank,10000,Donations in support of the Piketberg Foodbank
Gown surgical xx-large 140x165cm,157873411,gown
DPW Stores City DEEP--Cleaning & Decontamination of bacteria and viruses to all suspected of infesction,0,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
DRAINAGE SET,0,DRAINAGE SET
"DRAINAGE SET CYCLER CASSETTE AND TUBING,5C 4469",0,"DRAINAGE SET CYCLER CASSETTE AND TUBING,5C 4469"
DRAINAGE SYSTEM,0,DRAINAGE SYSTEM
draw sheets,0,draw sheets
DRESSING TROLLEY,0,DRESSING TROLLEY
Dressing Trolley Big,0,Dressing Trolley Big
Dressing Trolley Large,0,Dressing Trolley Large
Dressing Trolley Small,0,Dressing Trolley Small
Dressing Trollley Small,0,Dressing Trollley Small
DRIP STAND,0,DRIP STAND
Drip Stands,0,Drip Stands
Dripstand mobile,0,Dripstand mobile
"Dripstand, Mobile",0,"Dripstand, Mobile"
Gown theatre staff XL jade green l/s,40365851,gown
Drug cabinet,0,Drug cabinet
Dry wall nylon plugs,999,Dry wall nylon plugs
Duracell -AAA batteries,80,Duracell -AAA batteries
DUSTPAN AND BROOM SET,0,DUSTPAN AND BROOM SET
DYNAMAPS,0,DYNAMAPS
Dynamaps - patient monitors,0,Dynamaps - patient monitors
Earhook behind the ear 42143521-0001,0,Earhook behind the ear 42143521-0001
EBEAUMONT PS,1330,EBEAUMONT PS
ECG,0,ECG
ECG Machine,0,ECG Machine
"ECG, 12 Lead",0,"ECG, 12 Lead"
Echocardiogram Machine,0,Echocardiogram Machine
ECO HYGIENE INV00257,3671,ECO HYGIENE INV00257
ECONO PACK SCOURING 3 PACK,38,ECONO PACK SCOURING 3 PACK
Gowns surgical breathable high xxl,1975360,gown
EFEKTO TRIGGER SPRAYER 500ML,1290,EFEKTO TRIGGER SPRAYER 500ML
Efekto Trigger Sprayer Bottles 500ml,430,Efekto Trigger Sprayer Bottles 500ml
Electrical ICU beds with mattress,0,Electrical ICU beds with mattress
ELECTRICAL PAYMENT FOR ELECTRICITY,0,ELECTRICAL PAYMENT FOR ELECTRICITY
ELECTRICITY VOUCHER,12000,ELECTRICITY VOUCHER
ELECTROCARDIOGRA  PORTAL (ECG Machine),0,ELECTROCARDIOGRA  PORTAL (ECG Machine)
ELECTROCARDIOGRAPH (ECG),0,ELECTROCARDIOGRAPH (ECG)
"ELECTROCARDIOGRAPH (ECG) , CARDIO, TOCOGRAMME",0,"ELECTROCARDIOGRAPH (ECG) , CARDIO, TOCOGRAMME"
ELECTROCARDIOGRAPH (ECG) .,0,ELECTROCARDIOGRAPH (ECG) .
Electrocardiograph 12 channel GE MAC2000,0,Electrocardiograph 12 channel GE MAC2000
Electrocardiograph 12 channel portable,0,Electrocardiograph 12 channel portable
Electrode monitoring radiolucent adult,0,Electrode monitoring radiolucent adult
"ELECTRODE,MEDICAL",0,"ELECTRODE,MEDICAL"
"ELECTRODE,MEDICAL ECG ELECTRODES ADULT",0,"ELECTRODE,MEDICAL ECG ELECTRODES ADULT"
Electronics,8935212,Electronics
Email Address:,0,Email Address:
Emegency Light,0,Emegency Light
Emegency Trolley,0,Emegency Trolley
EMERG COV-19 DECON- RUSTHOF SS,8400,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON- SILVERSANDS,1917,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON- YOMELELA PS,1438,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-ALTA DU TOIT,1668,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-BEAUMONT PS,800,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-BELLPARK PS,1438,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-BERNADINO HEI,950,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-BLACKHEATH PS,3005,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-BLACKHEATH SS,5741,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-BLOEKOMBOS SS,1400,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-CHRIS HANI SS,950,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-EERSTERIVIER,2639,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-EIKENDAL PS,249,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-EKUTHULENI PS,4964,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-ELUXOLWENI PS,1218,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-EMITHINI PS,1800,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-ENCOTSHENI PS,753,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-EXCELSIOR PS,393,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-FOREST HEIGHT,650,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-FOREST VILLAG,3850,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-HOTENTOTS HOL,829,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-IMPENDULO PS,5405,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-IQHAYIYA HS,5395,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-IRISTA PS,2750,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-ISIPHIWO PS,2000,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-JAN KRIEL SCH,1260,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-KHANYOLWETHU,9159,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-KRAAIFONTEIN,1450,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-MACASSAR SS,850,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-MARVIN PARK P,1625,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-MONUMENT PARK,2532,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-NOLUTHANDO DE,5059,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-NOMZAMO SS,2883,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-NOXOLO XAUKA,4380,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-RAINBOW PS,510,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-RUSTHOF SCH,210,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-RUSTHOF SS,1650,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-SCOTTSVILLE S,4842,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-SILUKHANYO PS,3393,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-SIMONSBERG PS,3150,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-SIPHAMANDLA S,4320,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-SOLOMON QATYA,3900,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-SOSEBENZA PS,914,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-ST PAUL'S PS,1093,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-STRATFORD PS,900,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-TUSCANY GLEN,8400,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-UMMANGALISO P,650,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-USASAZO SS,10555,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-UXOLO HS,1571,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-WALLACEDENE S,1950,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
EMERG COV-19 DECON-WC SPORT SCH,2500,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Emergency Kart,183881,Emergency Kart
EMERGENCY TROLLEY,0,EMERGENCY TROLLEY
Emergency Trolley Adult,0,Emergency Trolley Adult
Emergency Trolley Peads,0,Emergency Trolley Peads
EMPL CONTR:BARGAIN COUNCIL(RES),52,EMPL CONTR:BARGAIN COUNCIL(RES)
EMPTY 500ML SPRAY BOTTLES,0,EMPTY 500ML SPRAY BOTTLES
Empty Sanitziter Containers,9660,Empty Sanitziter Containers
"EMPTY SPRAY BOTTLE ; @ R49,90 / spray bottle; JHBE19/266-Quote  2 dd 01 June 2020",2994,"EMPTY SPRAY BOTTLE ; @ R49,90 / spray bottle; JHBE19/266-Quote  2 dd 01 June 2020"
"EMPTY SPRAY BOTTLE @ R49,90 / spray bottle",4491,"EMPTY SPRAY BOTTLE @ R49,90 / spray bottle"
EMPTY SPRAY BOTTLE @ R49.90/ 1L Empty Spray bottle,19960,EMPTY SPRAY BOTTLE @ R49.90/ 1L Empty Spray bottle
Empty spray bottles,5400,Empty spray bottles
"Empty spray bottles =for 250 x 1L bottles @ R49,90/1L bottle",14346,"Empty spray bottles =for 250 x 1L bottles @ R49,90/1L bottle"
EMPTY TRIGGER SPRAY,513,EMPTY TRIGGER SPRAY
ENERGIZER AAA RECHARGABLE BATTERY PACK FOR DAYOUMED INFRARED THERMOMETER,1035,ENERGIZER AAA RECHARGABLE BATTERY PACK FOR DAYOUMED INFRARED THERMOMETER
"Energizer AAA Rechargable Battery pack for DAYOUMED INFRARED THERMOMETER @ R115,00 / Pack of 2 batteries",794,"Energizer AAA Rechargable Battery pack for DAYOUMED INFRARED THERMOMETER @ R115,00 / Pack of 2 batteries"
ENERGIZER RECHARABLE BATTERY PACK @ R150.00 / 1 pack of 4 batteries,300,ENERGIZER RECHARABLE BATTERY PACK @ R150.00 / 1 pack of 4 batteries
"ENERGIZER RECHARGABLE BATTERY PACK ; @ R150,00 / battery pack; HBE19/266-Quote  2 dd 01 June 2020",1350,"ENERGIZER RECHARGABLE BATTERY PACK ; @ R150,00 / battery pack; HBE19/266-Quote  2 dd 01 June 2020"
"Energizer universal charger for rechargable batteries for 1 charger @ R195,00 each",224,"Energizer universal charger for rechargable batteries for 1 charger @ R195,00 each"
"ENERGIZER UNIVERSAL CHARGER FOR RECHARGABLE BATTRIES ; @ R195,00 / battries; JHBE19/266-Quote  2 dd 01 June 2020",1170,"ENERGIZER UNIVERSAL CHARGER FOR RECHARGABLE BATTRIES ; @ R195,00 / battries; JHBE19/266-Quote  2 dd 01 June 2020"
ENERGIZER UNIVERSAL CHARGER FOR RECHARGABLE BATTRIES @ R195.00 / battery,780,ENERGIZER UNIVERSAL CHARGER FOR RECHARGABLE BATTRIES @ R195.00 / battery
"EXTENSION SET,INTRAVENOUS",0,"EXTENSION SET,INTRAVENOUS"
External DefIbrillator  Manual,0,External DefIbrillator  Manual
EYE PROTECTION GLASES/GOGGLES,3850,EYE PROTECTION GLASES/GOGGLES
Eye protective goggles,0,Eye protective goggles
Eye Saftey Goggles,0,Eye Saftey Goggles
Eyewear Googles are ergonomically design,0,Eyewear Googles are ergonomically design
Isolation Gown XL,119900,gown
FACE CLOTH MASK*230,0,cloth masks
FACE MASK/ FACE SHIELD,1734996,FACE MASK/ FACE SHIELD
Face Masks  Gauteng,0,Uncategorized masks
PPE007 Isolation gowns,14615625,gown
PPE008 Surgical gowns,63268820,gown
PROTECTIVE GOWNS BLUE (L),1100,gown
PROTECTIVE GOWNS BLUE (XL),1100,gown
Non-PPE Covid 19 Related Spend - Infrastructure,3999700,Infrastructure
--Non-PPE Covid 19 related spend items--,207747855,Non-PPE Covid related items
0-Non-PPE Covid 19 related spend items--,211928,Non-PPE Covid related items
Arbour Square Court-154044--Cleaning & Decontamination of bacteria and viruses to all suspected of infesction,58983,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Benoni  M/C-154229--Cleaning & Decontamination of bacteria and viruses to all suspected of infesction,95807,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Boksburg Family Court -Cleaning & Decontamination of bacteria and viruses to all suspected of infesction,52164,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Boksburg M/C -Cleaning & Decontamination of bacteria and viruses to all suspected of infesction,2254,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Boysens M/C-154064-Cleaning & Decontamination of bacteria and viruses to all suspected of infesction,186542,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Brakpan M/C-154232-Cleaning & Decontamination of bacteria and viruses to all suspected of infesction,22356,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Brixton M/C-Cleaning & Decontamination of bacteria and viruses to all suspected of infesction,74520,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
FEE FOR FULL COLOUR SUBLIMATION PRINT,1898,FEE FOR FULL COLOUR SUBLIMATION PRINT
FEES,0,FEES
FILE  RING PLASTIC ALL COLOURS,0,FILE  RING PLASTIC ALL COLOURS
Filter air ventilator Servo-Air (Maquet),0,Filter air ventilator Servo-Air (Maquet)
Filter bacteria ventilator Hamilton C2,0,Filter bacteria ventilator Hamilton C2
FILTER PARTICLE,0,FILTER PARTICLE
"FILTER,BACTERIA",0,"FILTER,BACTERIA"
"FILTER,MEDICAL HYDRPHOBIC DISPOSABLE",0,"FILTER,MEDICAL HYDRPHOBIC DISPOSABLE"
FIRST MATE CONCENTRATE P/L,89536,FIRST MATE CONCENTRATE P/L
Fisher & Paykel ARVO 2 plus system,0,Fisher & Paykel ARVO 2 plus system
flat sheet winter blue & green,0,flat sheet winter blue & green
Flow meter digital peak power supply,0,Flow meter digital peak power supply
Flow meter infant SIPAP comprehensive,0,Flow meter infant SIPAP comprehensive
"Flow meter, Oxygen, double",0,"Flow meter, Oxygen, double"
"Flow meter, Oxygen, Single",0,"Flow meter, Oxygen, Single"
"Flowmeter oxygen double ""FSW-001""",0,"Flowmeter oxygen double ""FSW-001"""
Flowmeter oxygen double Besmed,0,Flowmeter oxygen double Besmed
Flowmeter oxygen double FDW-001,0,Flowmeter oxygen double FDW-001
Flowmeter oxygen single,0,Flowmeter oxygen single
"Flowmeter oxygen single ""FSW-002""",0,"Flowmeter oxygen single ""FSW-002"""
"Flowmeter, Oxygen, Double/single",0,"Flowmeter, Oxygen, Double/single"
Fluid warmer,0,Fluid warmer
"Foam soap refill with pump in a hygenically sealed package @ R135,50/refill package (JHBE19/266-Quote  1 dd 24/04/2020)",4065,"Foam soap refill with pump in a hygenically sealed package @ R135,50/refill package (JHBE19/266-Quote  1 dd 24/04/2020)"
Fogger,0,Fogger
FOGGER MACHINE AS PER SPECIFICATION,57200,FOGGER MACHINE AS PER SPECIFICATION
FOGGERS 12 IN A BOX,840,FOGGERS 12 IN A BOX
Fogging chemical,0,Fogging chemical
Fogging Machine,45977,Fogging Machine
FOGGING MACHINE3,429510,FOGGING MACHINE3
Cleaning and Fumigation services,1560,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Constitutional Court-154052--Cleaning & Decontamination of bacteria and viruses to all suspected of infesction,171396,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Folded Hand paper towel,90650,Folded Hand paper towel
"Folded Hand Paper towels @ R480,00/box of towels (JHBE19/266-Quote  1 dd 24/04/2020)",14400,"Folded Hand Paper towels @ R480,00/box of towels (JHBE19/266-Quote  1 dd 24/04/2020)"
"Folded Hand Paper towels @ R480,00/Unit (JHBE19/266-Quote  1 dd 24/04/2020)",7200,"Folded Hand Paper towels @ R480,00/Unit (JHBE19/266-Quote  1 dd 24/04/2020)"
COVID 049 SANITIZING OF VEREENIGING LICENSING DEPARTMENT,18500,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Food parcels,242934631,Food parcels
Covid-19 Deep Cleaning and Disinfection  Benoni Office,6297,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
D.I.S - DECONTAMINATION,2850,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Foot Disinfectants,130000,Foot Disinfectants
FOOT OPERATING HAND SANITIZER,5486,FOOT OPERATING HAND SANITIZER
FOOT PADDEL SANITIZER STAND,855098,FOOT PADDEL SANITIZER STAND
Foot pedal hand sanitizers / hand sanitiser stands / sanitiser,5014,Foot pedal hand sanitizers / hand sanitiser stands / sanitiser
Foot stool Double,0,Foot stool Double
Foot Stool Double step,0,Foot Stool Double step
Footstep Sanitizer,0,Footstep Sanitizer
"FORM,PRINTED;81/103506;Z1",0,"FORM,PRINTED;81/103506;Z1"
"Fow meter, Oxygen, double",0,"Fow meter, Oxygen, double"
Free  State:Gloves,0,Free  State:Gloves
FREE STANDING PERSPEX DIVIDER,3413352,FREE STANDING PERSPEX DIVIDER
Free State :Disposable Masks,0,Uncategorized masks
Free State: Face shields,0,Free State: Face shields
Free State: Sanitizer (83*5L),0,Free State: Sanitizer (83*5L)
Fresenius kabi agila infusion pump and Docking station,0,Fresenius kabi agila infusion pump and Docking station
FRIDGE,0,FRIDGE
fridge vaccine,0,fridge vaccine
Fridge vaccine dbl glass door 900 -1100L,0,Fridge vaccine dbl glass door 900 -1100L
Fridge vaccine double door glass door 900-1100L,0,Fridge vaccine double door glass door 900-1100L
Fridge vaccine double glass door 900-1100L,0,Fridge vaccine double glass door 900-1100L
Fridge vaccine double sliding glass 744l,0,Fridge vaccine double sliding glass 744l
Fridge vaccine MED690 Minus 40,0,Fridge vaccine MED690 Minus 40
Fridge vaccine single door 200-270,0,Fridge vaccine single door 200-270
Fridge vaccine single glass door 200-270,0,Fridge vaccine single glass door 200-270
Fridge vaccine storage 200-280 litres,0,Fridge vaccine storage 200-280 litres
Fridge vaccine storage 290-350 litres,0,Fridge vaccine storage 290-350 litres
"Fridge, Vaccine, 200L-270L",0,"Fridge, Vaccine, 200L-270L"
"Fridge, vaccine, 900L-1000L",0,"Fridge, vaccine, 900L-1000L"
"Fridge, vaccine, 900L-1100L",0,"Fridge, vaccine, 900L-1100L"
DECONTAMINATIION AT ATHLONE PS,863,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
DECONTAMINATION - WOODLANDS PS,863,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
DECONTAMINATION @ ATHLONE NORTH,863,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
DECONTAMINATION @ SUNLANDS PS,863,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
DECONTAMINATION AT DE WAVEREN PS,1951,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
DECONTAMINATION AT GLOENVLEI HS,772,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
DECONTAMINATION AT KEWTOWN PS,1931,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Deep cleaning  Magistrate office : Ehlanzeni cluster 5,136818,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Deep cleaning  Magistrate office: Ehlanzeni cluster 1,159628,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Deep cleaning  Magistrate office: Ehlanzeni cluster 2,120737,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Deep cleaning  Magistrate office: Ehlanzeni cluster 3,123672,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Deep cleaning  Magistrate office: Ehlanzeni cluster 4,85595,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Deep cleaning  Magistrate office: Gert Sibande cluster 3,106685,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Deep cleaning  Magistrate office: Gert Sibande cluster 4,73998,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Deep cleaning  Magistrate office: Gert Sibande cluster 5,124056,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Deep cleaning  Magistrate office: Nkangala Cluster 1,46334,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Deep cleaning  Magistrate office: Nkangala Cluster 3,165033,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Deep Cleaning Biosafety Offices,16100,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Deep cleaning NDPW Nelspruit  office : Ehlanzeni cluster 6,77400,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Devon M/C-154236-Cleaning & Decontamination of bacteria and viruses to all suspected of infesction,7452,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Disinfecting of Surfaces,295796,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
DPW Nursery Bedfordview M/C-154047-Cleaning & Decontamination of bacteria and viruses to all suspected of infesction,7079,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Edenvale M/C-154065--Cleaning & Decontamination of bacteria and viruses to all suspected of infesction,100602,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Fogging of Bio processing Platform,16963,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Fogging of the uThukela D/O,1800,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Building Microbial Fogging Sanitation,105814,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
COVID 19 Preventative Office Disinfecting,12938,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Decontamination of facilities,142888,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Decontamination of Office,1840,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Decontamination of Office Spaces,2656478,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Deconteminating Office Building,14732,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Disinfect areas possibly contaminated,1159,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Disinfect cars - Ehlanzeni,35469,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Disinfect cars - Gert Sibande,117941,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Disinfect Municipal Office,30972,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Disinfecting Gauteng Offices 6 months,43176,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Disinfecting Mmabatho Prov Office,9742,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Disinfecting offices Nelspruit offices,9288,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
"DISINFECTING TRAFFIC DEPT -PORTERVILLE,PIKETBERG & VELDDRIF",10971,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Disinfecting: Mpumalanga Offices,67439,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
Disinfection - Klerksdorp Office,6269,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning
