Supplier_name,CSD_Registration_No,pay_num,No_of_orders,order_num,Count_of_institutions_serviced,Director
AMI AGENCIES,MAAA0155479,5508,1,5508,1,SIMS INGRID
AMIL INVESTMENTS,MAAA0891843,35845,1,35845,1,MOLALA ZAMELE
AMINA CHEM,MAAA0127803,68387.7,22,242380.15,22,MNYAKA SIVIWE
AMMARENTIA TRADING PROJECTS,MAAA0836647,14400,1,14400,1,NGOBENI TUMELO PRENETIA
AMO LENNA GENERAL TRADING,MAAA0246651,364000,1,364000,1,MOREENG TUMELO MOOKETSI
AMOGELANG THATO YA THAPELO,MAAA0780817,14827.67,1,146827.67,1,MAKWELA MATOME THATO
AMOKA SOLUTIONS,MAAA0443531,656781.1,4,13396443.6,4,LUMBALA ANASTASIA MOLLY KABU
AMOKA SOLUTIONS,MAAA0443531,656781.1,4,13396443.6,4,MATSHOBANE BUSISIWE NOMASONTO
AMOKA SOLUTIONS,MAAA0443531,656781.1,4,13396443.6,4,NKABINDE NONDUMISO
AMOR DE VERTADE,MAAA0163074,435367.52,3,435367.52,3,SIBOZA NOMBULELO VIVIAN
AMOR DE VERTADE,MAAA0163074,435367.52,3,435367.52,3,SKONELA HLONIPHILE KATE
AMOS NET CAFE,MAAA0985328,0,2,25000,2,MANOTSI AMOS TSIETSI
AMOS NET CAFE,MAAA0985328,0,2,25000,2,PULE TEBENE GABRIEL
AMPIE FIRE,MAAA0975876,0,6,136050,6,MALOKA CHARLES THABANG
AMPIE FIRE,MAAA0975876,0,6,136050,6,MALOKA CHARMAINE BELINE
AMPIE FIRE,MAAA0975876,0,6,136050,6,MALOKA DIMAKATSO CECILIA
AMPIE FIRE,MAAA0975876,0,6,136050,6,MALOKA GALEETELWE MARTHA
AMPIE FIRE,MAAA0975876,0,6,136050,6,MALOKA REGINALD THABO
AMPIE FIRE,MAAA0975876,0,6,136050,6,MALOKA TEBOHO
AMPLIED INNOVATIONS,MAAA0734825,0,2,994630,2,JILIKA NOEL BHIMJEE
AMPPM CONSTRUCTION,MAAA0084127,2000,2,2000,2,MASELEKA MOHORE ANTOINETTE
AMPPM CONSTRUCTION,MAAA0084127,2000,2,2000,2,MOLOKELA KATEDI LESIBA
AMRI KOTZE,MAAA0677918,23914.6,2,23914.6,2,Kotze AMRI
AMS SUPPLY AND LOGISTICS,MAAA0906282,0,1,931500,1,EGGAR HAROLD
AMSHED TRADING AND PROJECT,MAAA0648384,680837.5,3,680837.5,3,MACHEBELE TIVANANI SHADRACK
AMSTERDAM TRADING 112,MAAA0158812,0,2,906000,2,MATJILA BOITUMELO CYNTHIA
AMTRONICS,MAAA0438467,12500,1,12500,1,DADOO BILAL ABBAS
AMTRONICS,MAAA0438467,12500,1,12500,1,ROLFES LEENDERT MARTINUS
AMUKELANI OKUHLE TRADING,MAAA0086006,4358798,58,4365182,58,METHULE CLIFFORT BHEKI
AMUKELANI PROJECTS,MAAA0662091,19350,1,19350,1,BALOYI TINTSWALO MARTIA
AMUKELANI PROJECTS,MAAA0662091,19350,1,19350,1,BALOYI TSAKISILE LIGHT
AMUZA TRADING AND PROJECTS,MAAA0027149,27206.5,13,41591.4,13,NKOSI NOMTHANDAZO
AMVOA TRADING,MAAA0893887,29400,1,29400,1,NOMBEMBE MLUNGISI
AMZLUYO ENTERPRISE,MAAA0198074,488940,28,488940,28,MATSHINGANA NDILEKA
ANACARE,MAAA0024960,10550.01,1,10550.01,1,MOROPJANE KGAOGELO TSHOLO
ANAMA NTUMBULUKO,MAAA0591007,25440,1,25440,1,HLONGWANE TIYANI HLONGWANE
ANATIYO TRADING,MAAA0021347,0,1,0,1,NTSHANGULA GETRUDE VELI
ANATSWANASHE TRADING,MAAA0729259,0,2,11160,2,NKOSI VUSANANI ANDRIAS
ANB VET,MAAA0107902,9929.11,4,9929.11,4,BOTHA NICOLENE SARAH
ANCHOR MEDICAL,MAAA0050390,0,1,1723.2,1,BADE DAWOOD
ANCHOR MEDICAL,MAAA0050390,0,1,1723.2,1,BALLOT DAYNIA ELIZABETH
ANCHOR MEDICAL,MAAA0050390,0,1,1723.2,1,NKOLE RADINAKEDI STEWART
ANCHOR MEDICAL,MAAA0050390,0,1,1723.2,1,PHILLIPS CHARLES
ANCHOR MEDICAL,MAAA0050390,0,1,1723.2,1,PHILLIPS JAMES CHARLES GEORGE
ANDANI FUTURETECH MANUFACTURING,MAAA0101871,1259431.7,1,1804350,1,CHUTE ROWLAND ANDREW
ANDANI FUTURETECH MANUFACTURING,MAAA0101871,1259431.7,1,1804350,1,COMBRINK MOEGAMAT RASHIED
ANDANI FUTURETECH MANUFACTURING,MAAA0101871,1259431.7,1,1804350,1,Mengel LAMEEZ
ANDANI FUTURETECH MANUFACTURING,MAAA0101871,1259431.7,1,1804350,1,RUITERS ANTHONY CHARLES
ANDANI FUTURETECH MANUFACTURING,MAAA0101871,1259431.7,1,1804350,1,TSUKUDU PHUTI RACHEL
ANDANI FUTURETECH MANUFACTURING,MAAA0101871,1259431.7,1,1804350,1,VISSER BAREND ANDRIES
ANDIDALLAS PRINTING SERVICES,MAAA0249475,5000,1,5000,1,BUTHELEZI ANDILE THUBALAKHE
ANDIEY TRADING ENTERPRISES,MAAA0628639,22000,1,22000,1,MASIBIGIRI ANDANI
ANDILAMAKHONO,MAAA0737911,7500,1,7500,1,MBOKODA THANDIWE LUCIA
ANDILAMAKHONO,MAAA0737911,7500,1,7500,1,MDHLULI CEBILE PRUDENCE
ANDILAMAKHONO,MAAA0737911,7500,1,7500,1,MDHLULI NONHLANHLA CHRISTINAH
ANDILAMAKHONO,MAAA0737911,7500,1,7500,1,NYATHIKAZI FIKILE BUSISIWE
ANDILAMAKHONO,MAAA0737911,7500,1,7500,1,SIWELA BONGIWE LAWRENCIA
ANDILE 88 TRADING ENTERPRISE,MAAA0083785,58371.4,4,58371.4,4,GCWENSA PHUMLANI WELCOME
ANDILE ZODWA TRADING,MAAA0327749,15830.9,1,731.4,1,THUTHANI MBUISELO EZAEL
ANDILE-RUBY TRADING,MAAA0033010,9424180,2,14459000,2,MAKHANYA SIBUSISO EUSTACE
ANDILE-RUBY TRADING,MAAA0033010,9424180,2,14459000,2,MAKHANYA SINDISIWE PEARL
ANDIMAHLE TRADING ENTERPRISE,MAAA0102275,1906700,2,1941303.5,2,NGCOBO LONDIWE PRECIOUS
ANDISA CHARTERED ACCOUNTANTS SA,MAAA0100471,14918395.42,38,14131547.45,38,MABOTSA THABO CLAUDE
ANDRE LUWELLEN DAVIDS,MAAA0473718,138677.35,7,138677.35,7,DAVIDS ANDRE LUWELLEN
ANDRE LUWELLEN DAVIDS,MAAA0473718,138677.35,7,138677.35,7,EVANS ROBERT MALCOLM
ANDRE VAN BLERK,MAAA0644024,11920,1,11920,1,VAN BLERK ANDRE
ANDREA MICHELLE MCGAHEY,MAAA0252824,27600,1,27600,1,McGahey Andrea Michelle
ANDREW JOY TRADING,MAAA0829022,7500,2,7500,2,MAILA FRANCINA PONI
ANDREW JOY TRADING,MAAA0829022,7500,2,7500,2,MAILA TSADIBA ANDREW
ANDREW JOY TRADING,MAAA0829022,7500,2,7500,2,MOKONYANE TSADIBA ANDREW
ANDY'S BOILER AND BURNER SERVICE,MAAA0092494,448310.25,3,448310.25,3,KHAN Andrew Peter
ANDY'S BOILER AND BURNER SERVICE,MAAA0092494,448310.25,3,448310.25,3,KHAN RHONDA ELIZABETH
ANDZANIMIKULA TRADING,MAAA0574327,0,2,36000000,2,SHILENGE TSAKANI PRECIOUS
ANDZISANSOVO CORPORATION AND PROJECTS,MAAA0536726,180,6,6360,6,MTHETHO MIHLOTI SHANDY
ANGEL BERY TRADING,MAAA0036250,24500,1,24500,1,SONDLO FELICIA DIKELEDI
ANGELIQUE BAGS,MAAA0478997,18900,1,18900,1,MOGALE FRIDAH SHEILA
ANGELIQUE CLEANING AND GENERAL PROJECTS,MAAA0662291,5360,1,5360,1,PHUSOANE OFENTSE ANGELINE
ANGELS FAMILY BUSINESS AND PROJECTS,MAAA0337914,18478.2,3,18477.82,3,NKOANA LYDIA
ANGIEHOPE,MAAA0333450,3360.6,1,3360,1,DLEZI NOXOLO
ANGIEHOPE,MAAA0333450,3360.6,1,3360,1,MADLALA PATIENCE GUGU
ANGIEOCHEM,MAAA0716283,820814.6,35,5273987.91,35,HONWANA ANGRITA
ANGIEOCHEM,MAAA0716283,820814.6,35,5273987.91,35,MABUNDA NDZHAKA  TREASURE DAVID
ANGIEOCHEM,MAAA0716283,820814.6,35,5273987.91,35,WADEE ANTONIO SHABIR
ANIX CONSTRUCTION 129,MAAA0130591,970615.24,1,6655317.38,1,JAMA MONWABISI
ANKH MEDIA PRODUCTION AND SUPPLIES,MAAA0364839,0,1,232320,1,MQIKELA LOYISO ASANDA
ANKILE SERVICES,MAAA0690743,10923.8,2,10923.8,2,MATYILA MASEKANE VICTORIA
ANKO TRADING AND SUPPLY,MAAA0132006,0,1,0,1,SITHOLE ROBIN TRACIA
ANMUT SOLUTIONS,MAAA0615840,53542.8,2,53542.8,2,QINGA UNATHI
ANN AND ENZ,MAAA0129445,19950,1,19950,1,KLAAS ANELE
ANN AND ENZ,MAAA0129445,19950,1,19950,1,MBOBI ASANDA CLEMENCE-MARY
ANN AND ENZ,MAAA0129445,19950,1,19950,1,MBOBI ASANDA CLEMERY-MARY
ANN CLEAN,MAAA0145998,142500,2,142500,2,DLAMINI NCAMSILE ANNATORIA
ANN CLEAN,MAAA0145998,142500,2,142500,2,NKUPHO CHARITY BONGEKA THOBILE
ANNAM CONSTRUCTION AND SUPPLY,MAAA0782391,59950,2,59950,2,MAGAZI ANNELISA JESSICA
ANNATHORIA PROJECT,MAAA0510092,11500,1,11500,1,SIBISI MANDLA
ANNETTA GENERAL DEALER,MAAA0248153,52154.9,2,52154.9,2,MABASA TINYIKO BENJAMIN
ANNOKIE TRADING SERVICES,MAAA1009803,23750,1,23750,1,NKOANE ROBISON RAMAPANTA
ANOLANEX,MAAA0819613,0,20,0,20,MHLONGO PHUMZILE NICOLE
ANOP INVESTMENT,MAAA0769842,227308,25,227308,25,MPETSHENI NOPHEM PINKY
ANOPHA DESIGN ARC,MAAA0091965,12803728.1,1,19735588.32,1,DOSI MFUNDO ANDREW
ANOPHA DESIGN ARC,MAAA0091965,12803728.1,1,19735588.32,1,MUCHABAIWA RANGARIRAI
ANSHER SUPPLIES,MAAA0774330,4076.65,8,4076.65,8,Hoek ANDREW
ANSTRO CATERING EQUIPMENT,MAAA0074038,34827.85,12,20252.28,12,STERGIANOS DOUKAS PANAGIOTES
ANSTRO CATERING EQUIPMENT,MAAA0074038,34827.85,12,20252.28,12,STERGIANOS PANAGIOTES DOUKA
ANTAERES ALLIANCE,MAAA0870865,1390000,1,0,1,MWELASE BILLY SANELE
ANTAERES ALLIANCE,MAAA0870865,1390000,1,0,1,MWELASE SANELE
ANTAERES ALLIANCE,MAAA0870865,1390000,1,0,1,STOCK NICOLÉ BIANCA
ANTHEA TRADING,MAAA0060733,3200,2,3200,2,KHUMALO QHUBEKANI
ANTHI PROJECTS,MAAA0839100,2350000,1,2350000,1,MASOMBUKA SIBONGILE ROSE
ANTHONIAS CONSTRUCTION,MAAA0621708,0,2,247200,2,LANGA ANTONIA TSHEPISO
ANTIVIRUS TRADING,MAAA0168868,140071.42,1,143246.4,1,NGXOTHO MONGEZI
ANTON FERDINAND LOOTS,MAAA0352889,1470,1,1470,1,LOOTS ANTON FERDINAND
ANTON PIETER KILIAN,MAAA0421175,1150,1,1150,1,KILIAN Anton Pieter
ANYTIME WE COME TRADING AND PROJECTS,MAAA0078254,25500,1,25500,1,MALULEKE AGREE
ANYWHERE TODAY,MAAA0021371,380000,1,380000,1,CHAUKE GLYNNIS
ANZILE HOLDINGS,MAAA0940063,260000,1,260000,1,SINGO ANZA COLLET
APAXON,MAAA0894632,335600,1,335600,1,MOKWENE NKAGISANG PATRICK
APCOT TRADING,MAAA0461862,261230,16,261230,16,HARKER TRACEY JANE
APCOT TRADING,MAAA0461862,261230,16,261230,16,STOFFELS ANDRÈ PETER
APCOT TRADING,MAAA0461862,261230,16,261230,16,STOFFELS COLEEN JEANETTE
APE HOLDINGS,MAAA0853555,61420,8,61420,8,
APEX NATION GROUP,MAAA0450855,652173.91,1,652173.91,1,MKALIPI LUVUYO SIPHESIHIE LËEVAN
APHENDULE SERVICES,MAAA0929367,94800,8,94800,8,KHANYILE JABULISIWE HAPPY
APHINDILE AMAVOVO TRADING AND PROJECTS,MAAA0385554,12000,2,24000,2,MKHIZE ATHANDIWE NOKUBONGA
APHINDILE AMAVOVO TRADING AND PROJECTS,MAAA0385554,12000,2,24000,2,NDLOVU NHLAKANIPHO
APHIWE AMABHUNGANE SERVICES,MAAA0441017,2484000,1,2484000,1,RADEBE KHANYISANI LINDOKUHLE
APHIWE AND ANDILE CIVIL ENGINEERING AND PROJECTS,MAAA0754425,74750,1,74750,1,MADONDO MTHOKOZISI
APHUMELELE TRADING ENTERPRISE,MAAA0441852,8050,1,8050,1,MALIBENI LULAMA GRAHAM
APN MEDIA AND COMMUNICATION,MAAA0158097,200700,9,200700,9,LATEGAN JANINE
APN MEDIA AND COMMUNICATION,MAAA0158097,200700,9,200700,9,LATEGAN PETER ISAAC
APOLLO RESOURCE TRADING,MAAA0663014,0,1,195801.38,1,DINISO ATHI
APORELE TRADING,MAAA0625482,38700,1,38700,1,MOJODO MAHLODI DEFENCE
APPLE TREE INVESTMENT,MAAA0834723,460000,1,460000,1,NKADIMENG MORWATAU JOHANNES
APROWAVE,MAAA0011898,4565488.6,11,22781500,11,REDDY SAGARAN
APZI PIEZ,MAAA0069490,49472.5,2,49472.5,2,Bubu NOMNQAMLEZO MINTIE KAYAKAZI
AQIB SUPPLIERS,MAAA0683499,0,1,124200,1,SANDAN MUHAMMAD AQIB
AQN EVENTS,MAAA0483049,24504,1,24504,1,KHUMALO SIBONGILE QUEEN
AQUA RICH,MAAA0168544,23400,1,23400,1,NKADIMENG TEBOGO MASHIDI
AQUA TRANSPORT AND PLANT HIRE,MAAA0000492,40882.5,1,40882.5,1,NAICKER DONOVAN
AQUA TRANSPORT AND PLANT HIRE,MAAA0000492,40882.5,1,40882.5,1,NAICKER ELAINE
AQUA TRANSPORT AND PLANT HIRE,MAAA0000492,40882.5,1,40882.5,1,NAICKER TRISTON
AQUA TRANSPORT AND PLANT HIRE,MAAA0000492,40882.5,1,40882.5,1,NAICKER VASUTHEVAN
AQUAELEC,MAAA0471787,3289.12,3,2860.1,3,PERUMAL SELOCHANA
AQUEOUS CLEANING SERVICES,MAAA0793563,148900.24,4,893401.44,4,TEKA BONTLE BEAUTY
AQUIFERS HOLDINGS,MAAA0086425,86800,1,86800,1,SETSETSE SAMUEL NICHOLAS
AQUILA CORP,MAAA0619664,16789.31,1,16789.31,1,LETAGENG RAPALE ROMEO
AQUILA CORP,MAAA0619664,16789.31,1,16789.31,1,MULLER CHRISTOFFEL JOHANNES
AQUILA CORP,MAAA0619664,16789.31,1,16789.31,1,MULLER JACQUELINE
ARABELA SUPPLY AND LOGISTICS,MAAA0058873,218413.1,4,218413.1,4,MOGOROSI MOLEME LEONARD
ARAMAYA INDUSTRIES,MAAA0917897,82380,3,82380,3,NAIDOO SERVESHAN
ARAMEX SOUTH AFRICA,MAAA0054708,748.3,1,748.3,1,ABRAHAMS NAZLEE
ARAMEX SOUTH AFRICA,MAAA0054708,748.3,1,748.3,1,COOTE TYRON SHANE
ARAMEX SOUTH AFRICA,MAAA0054708,748.3,1,748.3,1,Goodman SADE TIFFANY
ARAMEX SOUTH AFRICA,MAAA0054708,748.3,1,748.3,1,HENRY Beverley Patricia
ARAMEX SOUTH AFRICA,MAAA0054708,748.3,1,748.3,1,VAN DER MERWE GEORGE MURRAY
ARAMEX SOUTH AFRICA,MAAA0054708,748.3,1,748.3,1,Van der Velde ANDREW
ARAMEX SOUTH AFRICA,MAAA0054708,748.3,1,748.3,1,VICTOR DAYANDRAN
ARANGAHO,MAAA0496099,1752980,3,1752980,3,MASAKONA TSHIWELA JULIA
ARB ENTERPRISE,MAAA0478544,10200,2,10200,2,BHUGWANDEEN AVILASH
Arc Technology,MAAA0448977,32196751.85,30,5834639.75,30,NARISMULU KEHAR
Arc Technology,MAAA0448977,32196751.85,30,5834639.75,30,NARISMULU NIKHAL
ARCHIBALD TRADING AND PROJECTS,MAAA0288939,486500,1,486500,1,WAINAINA ARCHIBALD CHARLES
ARCHITECTS AND COST ENGINEERS,MAAA0074960,8780759.68,1,8780759.68,1,NSABUYERA EMMANUEL LEONARD
ARCTICOL,MAAA0370944,410003,1,410003,1,NDLAZI MPENDULO
ARCTOPART STRATEGIC SUPPLIES,MAAA0037506,2573000,3,2573000,3,Sangoni TEMBILE
ARE SEMELELENG CO-OPERATIVE LIMITED,MAAA0317127,52800,1,52800,1,ALEXANDER MATILDA CAROL
ARE SEMELELENG CO-OPERATIVE LIMITED,MAAA0317127,52800,1,52800,1,BOWANE MOONYANE JOHANNA
ARE SEMELELENG CO-OPERATIVE LIMITED,MAAA0317127,52800,1,52800,1,LEEUW KEIKANTSEMANG MAGDELINE
ARE SEMELELENG CO-OPERATIVE LIMITED,MAAA0317127,52800,1,52800,1,MAGAU CONSTANCE MEIDJIE
ARE SEMELELENG CO-OPERATIVE LIMITED,MAAA0317127,52800,1,52800,1,MEMANE BELLA ZIKA
ARE SEMELELENG CO-OPERATIVE LIMITED,MAAA0317127,52800,1,52800,1,MOABINYANA GOTHUSANG SOPHIE
ARE SEMELELENG CO-OPERATIVE LIMITED,MAAA0317127,52800,1,52800,1,MOABINYANA KESEBONYE ELSIE
ARE SEMELELENG CO-OPERATIVE LIMITED,MAAA0317127,52800,1,52800,1,MOLEME KELATLHEGILE MERRIAM
ARE SEMELELENG CO-OPERATIVE LIMITED,MAAA0317127,52800,1,52800,1,MOTHUSIEMANG SYLVIA SEOLEBALENG
ARE SEMELELENG CO-OPERATIVE LIMITED,MAAA0317127,52800,1,52800,1,PITSO DIBUENG ISABELA
ARE SEMELELENG CO-OPERATIVE LIMITED,MAAA0317127,52800,1,52800,1,SERUNYE KEGOMODITSWE NOUMIE
ARE SEMELELENG CO-OPERATIVE LIMITED,MAAA0317127,52800,1,52800,1,TEBE SOPHIE
ARENA HOLDINGS,MAAA0076388,59728.7,2,59728.7,2,BOBAT AASHA KANTILAL
ARENA HOLDINGS,MAAA0076388,59728.7,2,59728.7,2,BONAMOUR ANDREW DAVID
ARENA HOLDINGS,MAAA0076388,59728.7,2,59728.7,2,CURTIS ADAM JOHN
ARENA HOLDINGS,MAAA0076388,59728.7,2,59728.7,2,GILL ANDREW GORDON COPELAND
ARENA HOLDINGS,MAAA0076388,59728.7,2,59728.7,2,ISAAC LEANNA
ARENA HOLDINGS,MAAA0076388,59728.7,2,59728.7,2,KUSEEAL YASTEEL
ARENA HOLDINGS,MAAA0076388,59728.7,2,59728.7,2,MAHLOELE TSHEPO DAUN
ARENA HOLDINGS,MAAA0076388,59728.7,2,59728.7,2,MONARE NKGAKGA
ARENA HOLDINGS,MAAA0076388,59728.7,2,59728.7,2,WHEATLEY WARREN GREGORY
ARENDSE INDUSTRIAL AND RENTAL SUPPLIER,MAAA0926014,98900,1,98900,1,ARENDSE TREMAINE
ARENDSE INDUSTRIAL AND RENTAL SUPPLIER,MAAA0926014,98900,1,98900,1,CUPIDO VIVIENNE LEE
ARETA CONSULTANTS,MAAA0093803,1230000,1,1230000,1,CLEOPHAS MARLON
ARETA CONSULTANTS,MAAA0093803,1230000,1,1230000,1,CLEOPHAS ZANE
ARISTEHEALTH,MAAA0027541,2401.2,1,2401.2,1,HEYL JAN DE VILLIERS
ARISTEHEALTH,MAAA0027541,2401.2,1,2401.2,1,LOWERY NICHOLAS JOSEPH
ARISTOCRAFT TRADING,MAAA0177413,28139,10,59963,10,BOTHA RONALD
ARIYE TOURS,MAAA0051690,0,1,0,1,RAMPFUMEDZI MASHUDU
ARJO HUNTLEIGH SOUTH AFRICA,MAAA0005800,63554135.49,89,88286708.19,89,EBRAHIM ABDULLAH
ARJO HUNTLEIGH SOUTH AFRICA,MAAA0005800,63554135.49,89,88286708.19,89,NICHOLAS SAKENA
ARK PRINTERS AND STATIONERS,MAAA0007292,17295,7,17295,7,KASSIM ABDUR RAUF
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,DE LA HUNT VIRGINIA LEE ANNE
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,DEXTER PHILLIP DEXTER
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,GROBLER JACOBUS GERHARDUS
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,GUSHU FUNDISWA
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,KHANYILE MOSES BONGANI
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,LUBISI REGINALD CASSIUS
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,MASHININI PETA NOCEBA
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,MATENCHE REFILWE
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,MBADA SOLOMZI PHINEAS
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,MHLARI TINYIKO
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,MOTIMELE MALUSI STANLEY
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,NDHLOVU JEANETTE THOKOZILE
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,PEPANI LUNGILE CHRISTIAN
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,SIMPSON CLARINDA ELIZABETH
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,SKWEYIYA THUTHUKILE EDY
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,SUKAZI TIMOTHY MANDLA
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,TYIBILIKA NDUMISO MANZODIDI
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116507,3282184.3,8,3290360.63,8,VOKWANA RAYMOND MLUNWANA
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,DE LA HUNT VIRGINIA LEE ANNE
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,DEXTER PHILLIP DEXTER
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,GROBLER JACOBUS GERHARDUS
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,GUSHU FUNDISWA
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,KHANYILE MOSES BONGANI
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,LUBISI REGINALD CASSIUS
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,MASHININI PETA NOCEBA
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,MATENCHE REFILWE
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,MBADA SOLOMZI PHINEAS
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,MHLARI TINYIKO
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,MOTIMELE MALUSI STANLEY
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,NDHLOVU JEANETTE THOKOZILE
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,PEPANI LUNGILE CHRISTIAN
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,SIMPSON CLARINDA ELIZABETH
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,SKWEYIYA THUTHUKILE EDY
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,SUKAZI TIMOTHY MANDLA
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,TYIBILIKA NDUMISO MANZODIDI
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116542,322561.2,1,322561.2,1,VOKWANA RAYMOND MLUNWANA
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,DE LA HUNT VIRGINIA LEE ANNE
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,DEXTER PHILLIP DEXTER
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,GROBLER JACOBUS GERHARDUS
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,GUSHU FUNDISWA
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,KHANYILE MOSES BONGANI
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,LUBISI REGINALD CASSIUS
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,MASHININI PETA NOCEBA
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,MATENCHE REFILWE
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,MBADA SOLOMZI PHINEAS
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,MHLARI TINYIKO
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,MOTIMELE MALUSI STANLEY
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,NDHLOVU JEANETTE THOKOZILE
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,PEPANI LUNGILE CHRISTIAN
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,SIMPSON CLARINDA ELIZABETH
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,SKWEYIYA THUTHUKILE EDY
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,SUKAZI TIMOTHY MANDLA
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,TYIBILIKA NDUMISO MANZODIDI
ARMAMENTS CORPORATION OF SOUTH AFRICA,MAAA0116583,9026.34,1,8169.3,1,VOKWANA RAYMOND MLUNWANA
ARMY PROJECT CONSULTANTS SA,MAAA0663084,0,1,1710291.5,1,PARUK AHMED ESSOP
ARNISTON SEASIDE COTTAGES,MAAA0695741,3019770,10,1967070,10,HAARBURGER LOUIS JOHN
