supplier_sum,supplier_name,No,Institution_name,Item_desp,Service_desp,Unit_price,Quantity,UOM,Date_order,Order_amount,Date_payments,Payments,pay_num,order_num,Cleaned_name,Cleaned_supplier,CSD_Registration_No
170702771.12,logan medical and surgical,14739,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE006 Visor / Face Shield,0,20.7,1755,Each,18/02/2021,"R36,328.50",,R0,0,36328.5,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,14740,GAUTENG - SOCIAL DEVELOPMENT,PPE006 Visor / Face Shield,0,20.7,1755,Each,18/02/2021,"R36,328.50",15/03/2021,"R36,329",36329,36328.5,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,14752,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE020 Hand sanitisers and disinfectants,0,"1,090.00",22,25 Litre,18/02/2021,"R23,980.00",,R0,0,23980.0,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,14753,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE020 Hand sanitisers and disinfectants,0,"1,092.00",43,25 Litre,18/02/2021,"R46,977.50",,R0,0,46977.5,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,14754,GAUTENG - SOCIAL DEVELOPMENT,PPE020 Hand sanitisers and disinfectants,0,"1,090.00",22,Each,18/02/2021,"R23,980.00",15/03/2021,"R23,980",23980,23980.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,14755,GAUTENG - SOCIAL DEVELOPMENT,PPE020 Hand sanitisers and disinfectants,0,"1,092.50",43,Each,18/02/2021,"R46,977.50",15/03/2021,"R46,978",46978,46977.5,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,14845,DEPERTMENT OF SOCIAL DEVELOPMENT,0,Cap mop non-woven,46,100,Box of 100,17/12/2020,"R4,600.00",,R0,0,4600.0,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,14878,WATER AND SANITATION,PPE001 Surgical masks for patients,0,,1000 Units,Box of 10,17/12/2020,"R1,725.00",17/12/2020,"R1,725",1725,1725.0,Department of water and sanitation,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,14885,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE006 Visor / Face Shield,0,17.23,1609,Each,17/12/2020,"R27,723.07",,R0,0,27723.07,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,14887,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE006 Visor / Face Shield,0,40.23,300,Each,17/12/2020,"R12,069.00",,R0,0,12069.0,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,14895,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE007 Isolation gowns,0,80.5,200,Box of 10,17/12/2020,"R16,100.00",,R0,0,16100.0,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,14896,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE008 Surgical gowns,0,80.5,100,Box of 10,17/12/2020,"R8,050.00",,R0,0,8050.0,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,14897,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,80.5,200,Box of 50,17/12/2020,"R16,100.00",,R0,0,16100.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,14916,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE020 Hand sanitisers and disinfectants,0,"1,322.50",13,25 Litre,17/12/2020,"R17,192.50",,R0,0,17192.5,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,14919,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE020 Hand sanitisers and disinfectants,0,"1,322.00",60,25 Litre,17/12/2020,"R79,350.00",,R0,0,79350.0,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,15565,MPUMALANGA - HEALTH,PPE002 Surgical masks for healt care workers,0,24,9760,Box of 50,17/04/2021,"R719,325.00",9/1/2021,"R234,240",234240,719325.0,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,15601,GAUTENG - HEALTH,Gown surgical long sleeve xlarge colourd,0,20,3000,Each,17/04/2020,"R60,000.00",,R0,0,60000.0,Gauteng - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,15883,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE006 Visor / Face Shield,0,19.55,952,Each,17/02/2021,"R18,611.60",,R0,0,18611.6,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,15884,GAUTENG - SOCIAL DEVELOPMENT,PPE006 Visor / Face Shield,0,19.55,952,Each,17/02/2021,"R18,611.60",3/5/2021,"R18,612",18612,18611.6,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,16135,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,24,132,Box of 50,16/08/2021,"R3,168.00",,R0,0,3168.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,16136,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,24,220,Box of 50,16/08/2021,"R5,280.00",,R0,0,5280.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,16496,GAUTENG - HEALTH,Gown surgical long sleeve xlarge colourd,0,20,250,Each,16/04/2020,"R5,000.00",,R0,0,5000.0,Gauteng - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,16631,GAUTENG - SOCIAL DEVELOPMENT,PPE006 Visor / Face Shield,0,21,100,Each,16/03/2021,"R2,100.00",,R0,0,2100.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,16632,GAUTENG - SOCIAL DEVELOPMENT,PPE006 Visor / Face Shield,Not applicable,21,100,Box of 50,16/03/2021,"R2,100.00",,R0,0,2100.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,16636,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,21,100,Each,16/03/2021,"R2,100.00",,R0,0,2100.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,16637,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,80.5,300,Box of 50,16/03/2021,"R24,150.00",,R0,0,24150.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,16638,MPUMALANGA - HEALTH,PPE008 Surgical gowns,0,80.5,1700,Each,16/03/2021,"R1,610,000.00",27/07/2021,"R136,850",136850,1610000.0,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,16701,MPUMALANGA - HEALTH,PPE008 Surgical gowns,0,20,200,Each,16/03/2020,"R3,999.93",20/04/2020,"R4,000",4000,3999.93,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,16702,MPUMALANGA - HEALTH,PPE008 Surgical gowns,0,20,300,Each,16/03/2020,"R5,999.90",20/04/2020,"R6,000",6000,5999.9,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,16855,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE008 Surgical gowns,0,161,200,Box of 10,15/12/2020,"R32,200.00",,R0,0,32200.0,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,16856,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,0,80.5,200,Each,15/12/2020,"R16,100.00",17/03/2021,"R8,936",8936,16100.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,16859,OFFICE OF THE CHIEF JUSTICE,PPE011 Digital thermometer,0,694.31,3,Each,15/12/2020,R694.31,,R694,694,694.31,Office of the chief justice,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,16892,WATER AND SANITATION,PPE020 Hand sanitisers and disinfectants,0,,50 Units,25 Litre,15/12/2020,"R65,000.00",21/12/2020,"R65,000",65000,65000.0,Department of water and sanitation,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,18382,MPUMALANGA - HEALTH,PPE002 Surgical masks for healt care workers,0,24,1200,Box of 50,14/07/2021,"R719,325.00",13/09/2021,"R28,799",28799,719325.0,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,18384,MPUMALANGA - HEALTH,PPE002 Surgical masks for healt care workers,0,24,5000,Box of 50,14/07/2021,"R719,325.00",26/08/2021,"R120,000",120000,719325.0,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,18385,MPUMALANGA - HEALTH,PPE002 Surgical masks for healt care workers,0,24,9040,Box of 50,14/07/2021,"R719,325.00",13/09/2021,"R216,954",216954,719325.0,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,18387,MPUMALANGA - HEALTH,PPE008 Surgical gowns,0,805,200,Box of 10,14/07/2021,"R966,000.00",13/09/2021,"R161,000",161000,966000.0,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,18388,MPUMALANGA - HEALTH,PPE008 Surgical gowns,0,26.29,2008,Each,14/07/2021,"R719,325.00",13/09/2021,"R52,791",52791,719325.0,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,18589,GAUTENG - SOCIAL DEVELOPMENT,Mask face surgical with ties 3 ply,0,48,1000,Box of 50,14/06/2021,"R48,000.00",,R0,0,48000.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,18604,GAUTENG - SOCIAL DEVELOPMENT,PPE001 Surgical masks for patients,Not applicable,48,1000,Box of 50,14/06/2021,"R48,000.00",25/08/2021,"R48,000",48000,48000.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,18663,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,80.5,1,Box of 50,14/05/2021,R80.50,,R0,0,80.5,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,18664,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,45,20,Box of 50,14/05/2021,R900.00,,R0,0,900.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,18668,GAUTENG - SOCIAL DEVELOPMENT,PPE010 Boot covers,0,45,20,Each,14/05/2021,R900.00,6/2/2021,R900,900,900.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,19522,MPUMALANGA - HEALTH,PPE002 Surgical masks for healt care workers,0,23.98,15000,Box of 50,13/07/2021,"R359,662.50",26/08/2021,"R359,663",359663,359662.5,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,19702,GAUTENG GROWTH AND DEVELOPMENT AGENCY (GGDA),KN95 Masks ( 10boxes of 10_,0,402.5,10,Box of 10,13/05/2021,"R4,025.00",,R0,0,4025.0,Gauteng - growth and development agency (ggda),logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,19733,MPUMALANGA - HEALTH,PPE000 Other PPEs,Theatre Cap,139.96,212,Box of 100,13/05/2021,"R528,782.65",23/08/2021,"R29,670",29670,528782.65,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,19744,MPUMALANGA - HEALTH,PPE002 Surgical masks for healt care workers,0,47.96,5000,Box of 50,13/05/2021,"R1,057,565.30",23/08/2021,"R239,775",239775,1057565.3,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,19749,MPUMALANGA - HEALTH,PPE008 Surgical gowns,0,243.5,100,Box of 10,13/05/2021,"R121,750.50",23/08/2021,"R24,350",24350,121750.5,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,19751,MPUMALANGA - HEALTH,PPE008 Surgical gowns,0,80.5,12000,Each,13/05/2021,"R966,000.00",3/8/2021,"R966,000",966000,966000.0,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,19752,MPUMALANGA - HEALTH,PPE008 Surgical gowns,0,243.5,2,Box of 10,13/05/2021,"R528,782.65",29/09/2021,R487,487,528782.65,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,19753,MPUMALANGA - HEALTH,PPE008 Surgical gowns,0,487,250,Box of 10,13/05/2021,"R1,057,565.30",23/08/2021,"R121,751",121751,1057565.3,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,19754,MPUMALANGA - HEALTH,PPE008 Surgical gowns,0,24.35,2500,Each,13/05/2021,"R137,586.69",9/1/2021,"R60,388",60388,137586.69,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,19756,MPUMALANGA - HEALTH,PPE008 Surgical gowns,0,243.5,400,Box of 10,13/05/2021,"R121,750.50",23/08/2021,"R97,400",97400,121750.5,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,19767,MPUMALANGA - HEALTH,PPE010 Boot covers,0,44.97,1650,Each,13/05/2021,"R137,586.69",9/1/2021,"R74,192",74192,137586.69,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,19781,GAUTENG GROWTH AND DEVELOPMENT AGENCY (GGDA),Reflective safety  jackets,0,46,30,Each,13/05/2021,"R1,380.00",,R0,0,1380.0,Gauteng - growth and development agency (ggda),logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,19782,GAUTENG GROWTH AND DEVELOPMENT AGENCY (GGDA),Surgical masks (10 Boxes of 50),0,460,10,Box of 50,13/05/2021,"R4,600.00",,R0,0,4600.0,Gauteng - growth and development agency (ggda),logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20041,MPUMALANGA - HEALTH,PPE008 Surgical gowns,0,20,1000,Each,13/03/2020,"R19,999.65",20/04/2020,"R20,000",20000,19999.65,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20042,MPUMALANGA - HEALTH,PPE008 Surgical gowns,0,20,150,Each,13/03/2020,"R2,999.95",20/04/2020,"R3,000",3000,2999.95,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20091,GAUTENG DEPARTMENT OF HEALTH,Gown surgical sterile non-woven xl blue,0,0,3000,Each,13/01/2021,"R241,500.00",,R0,0,241500.0,Gauteng - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20318,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE007 Isolation gowns,0,80.5,120,Box of 10,12/10/2020,"R9,660.00",,R0,0,9660.0,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20319,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE008 Surgical gowns,0,161,200,Box of 10,12/10/2020,"R32,200.00",,R0,0,32200.0,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20320,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE008 Surgical gowns,0,80.5,230,Box of 10,12/10/2020,"R18,515.00",,R0,0,18515.0,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20321,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE008 Surgical gowns,0,80.5,250,Box of 10,12/10/2020,"R20,125.00",,R0,0,20125.0,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20322,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE008 Surgical gowns,0,80.5,395,Box of 10,12/10/2020,"R31,797.50",,R0,0,31797.5,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20323,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE008 Surgical gowns,0,161,400,Box of 10,12/10/2020,"R64,400.00",,R0,0,64400.0,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20324,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,0,80.5,395,Each,12/10/2020,"R31,797.50",3/2/2021,"R15,698",15698,31797.5,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20325,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,0,80.5,400,Each,12/10/2020,"R32,200.00",3/5/2021,"R16,100",16100,32200.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20326,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,0,80.5,400,Each,12/10/2020,"R32,200.00",6/9/2021,"R16,100",16100,32200.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20327,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,80.5,120,Box of 50,12/10/2020,"R9,660.00",,R0,0,9660.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20328,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,80.5,120,Each,12/10/2020,"R9,660.00",,R0,0,9660.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20329,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,80.5,200,Box of 50,12/10/2020,"R16,100.00",,R0,0,16100.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20330,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,80.5,200,Each,12/10/2020,"R16,100.00",,R0,0,16100.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20331,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,161,230,Each,12/10/2020,"R32,200.00",,R0,0,32200.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20332,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,80.5,400,Box of 50,12/10/2020,"R32,200.00",,R0,0,32200.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20379,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE007 Isolation gowns,0,80.5,338,Box of 10,12/9/2020,"R27,209.00",,R0,0,27209.0,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20380,DEPERTMENT OF SOCIAL DEVELOPMENT,PPE008 Surgical gowns,0,80.5,10,Box of 10,12/9/2020,R805.00,,R0,0,805.0,Department of social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20381,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,80.5,10,Box of 50,12/9/2020,R805.00,,R0,0,805.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20382,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,80.5,10,Each,12/9/2020,R805.00,,R0,0,805.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20383,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,161,18,Box of 50,12/9/2020,"R2,898.00",,R0,0,2898.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20384,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,161,18,Each,12/9/2020,"R2,898.00",,R0,0,2898.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20483,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,34.48,18,Each,12/8/2020,R824.04,,R0,0,824.04,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20484,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,22.89,36,Each,12/8/2020,R620.64,,R0,0,620.64,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20739,MPUMALANGA - HEALTH,PPE008 Surgical gowns,0,80.5,1000,Each,12/3/2020,"R1,610,000.00",29/03/2021,"R80,500",80500,1610000.0,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20740,MPUMALANGA - HEALTH,PPE008 Surgical gowns,0,161,5000,Each,12/3/2020,"R3,220,000.00",31/03/2021,"R805,000",805000,3220000.0,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,20741,MPUMALANGA - HEALTH,PPE008 Surgical gowns,0,80.5,6800,Each,12/3/2020,"R1,610,000.00",29/03/2021,"R547,400",547400,1610000.0,Mpumalanga - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,22412,GAUTENG - HEALTH,Overshoe plastic single use 100/box,0,117.5,100,EA,9/8/2020,"R11,750.00",,R0,0,11750.0,Gauteng - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,22812,GAUTENG - HEALTH,Gown hospital child age 3-6yr single use,0,5.93,10000,EA,9/3/2020,"R59,300.00",,R0,0,59300.0,Gauteng - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,22813,GAUTENG - HEALTH,Gown hospital child age 6-9yr disposable,0,6.67,10000,EA,9/3/2020,"R66,700.00",,R0,0,66700.0,Gauteng - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,22814,GAUTENG - HEALTH,Gown hospital large s/sleeve single use,0,8.89,10000,EA,9/3/2020,"R88,900.00",,R0,0,88900.0,Gauteng - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,22815,GAUTENG - HEALTH,Gown hospital medium s/sleeve disposable,0,7.71,10000,EA,9/3/2020,"R77,100.00",,R0,0,77100.0,Gauteng - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,22816,GAUTENG - HEALTH,Gown hospital x-large s/sleev single use,0,10.37,10000,EA,9/3/2020,"R103,700.00",,R0,0,103700.0,Gauteng - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,23039,GAUTENG - SOCIAL DEVELOPMENT,PPE001 Surgical masks for patients,Not applicable,24,347,Box of 50,8/12/2021,"R8,328.00",,R0,0,8328.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,23045,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,24,380,Box of 50,8/12/2021,"R9,120.00",,R0,0,9120.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,23990,GAUTENG - SOCIAL DEVELOPMENT,PPE008 Surgical gowns,Not applicable,24,204,Box of 50,8/4/2021,"R4,896.00",,R0,0,4896.0,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,24366,GAUTENG - HEALTH,Gown surgical sterile non-woven xl blue,0,20,25000,Each,7/10/2020,"R500,000.00",,R0,0,500000.0,Gauteng - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,26691,HEALTH,PPE002 Surgical masks for healt care workers,MASK SURGICAL WITH EARLOOPS,0,0,0,6/7/2021,"R288,000.00",27/07/2021,"R144,000",144000,288000.0,Department of health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,26694,GAUTENG - SOCIAL DEVELOPMENT,PPE011 Digital thermometer,Not applicable,228.85,6,Box of 50,6/7/2021,"R1,373.10",8/11/2021,"R1,373",1373,1373.1,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,26714,GAUTENG - SOCIAL DEVELOPMENT,Thermometer body digital infrared,0,228.85,6,Each,6/7/2021,"R1,373.10",,R0,0,1373.1,Gauteng - social development,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,27193,DEPARTMENT OF WATER AND SANITATION,0,BACTICIDE HAND DISINFECTANT 25L,,10,0,,"R30,000.00",,R0,0,30000.0,Department of water and sanitation,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,27194,DEPARTMENT OF WATER AND SANITATION,0,BACTICIDE HAND DISINFECTANT 500ML,,300,0,,"R20,877.00",,R0,0,20877.0,Department of water and sanitation,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,27673,GAUTENG - HEALTH,0,0,0,10,0,,"R170,345.20",24/06/2021,"R170,345",170345,170345.2,Gauteng - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,27696,GAUTENG - HEALTH,0,0,0,11.667,0,,"R451,858.00",24/06/2021,"R451,858",451858,451858.0,Gauteng - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,27697,GAUTENG - HEALTH,0,0,0,11667,0,,"R170,200.00",24/06/2021,"R170,200",170200,170200.0,Gauteng - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,27751,GAUTENG - HEALTH,0,0,0,471.5,0,,"R471,500.00",24/06/2021,"R471,500",471500,471500.0,Gauteng - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,27752,GAUTENG - HEALTH,0,0,0,474.5,0,,"R444,540.00",24/06/2021,"R444,540",444540,444540.0,Gauteng - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
170702771.12,logan medical and surgical,27753,GAUTENG - HEALTH,0,0,0,494.5,0,,"R21,000.00",24/06/2021,"R21,000",21000,21000.0,Gauteng - health,logan medical and surgical,"MAAA0009035
MAAA0173392"
