,No,Institution_name,Item_d,Supplier_name,Service_desp,Unit_price,Quantity,UOM,Date_order,Order_amount,Date_payments,Payments,pay_num,order_num,cleaned_name,Item_desp,No_per_unit,price_per_mask,real_quan
388,7447,FETAKGOMO TUBATSE LOCAL MUNICIPALITY,PPE018 3 Layer fabric cloth masks,LDT Developers (Pty) Ltd,0,63.0,722.0,Each,2020-06-24,"R45,486.00",2020-06-30,"R45,486",45486,45486.0,Fetakgomo tubatse local municipality,cloth masks,1.0,63.0,722.0
389,7451,MHLONTLO LOCAL MUNICIPALITY,PPE018 3 Layer fabric cloth masks,Promed Technologies,Supply and delivery of PPE'S,30.0,500.0,Each,2020-06-24,"R15,000.00",2020-07-08,"R15,000",15000,15000.0,Mhlontlo local municipality,cloth masks,1.0,30.0,500.0
390,7452,MPUMALANGA - OFFICE OF THE PREMIER,PPE018 3 Layer fabric cloth masks,Andilamakakhono,0,25.0,300.0,Each,2020-06-24,"R7,500.00",2020-06-29,"R7,500",7500,7500.0,Mpumalanga - office of the premier,cloth masks,1.0,25.0,300.0
391,7453,MPUMALANGA - OFFICE OF THE PREMIER,PPE018 3 Layer fabric cloth masks,True Velly,0,25.0,300.0,Each,2020-06-24,"R7,500.00",2020-06-29,"R7,500",7500,7500.0,Mpumalanga - office of the premier,cloth masks,1.0,25.0,300.0
392,7454,NATIONAL YOUTH DEVELOPMENT AGENCY,PPE018 3 Layer fabric cloth masks,KING MAWIE PROJECTS (PTY)LTD,0,35.0,1000.0,Each,2020-06-24,"R35,000.00",2020-07-16,"R35,000",35000,35000.0,National youth development agency,cloth masks,1.0,35.0,1000.0
393,7455,SASSA,PPE018 3 Layer fabric cloth masks,Mathosim Trimming and Uphlstry,Face Cloth Masks,20.0,710.0,Each,2020-06-24,"R14,200.00",,"R14,200",14200,14200.0,South african social security agency,cloth masks,1.0,20.0,710.0
394,7456,SASSA,PPE018 3 Layer fabric cloth masks,Mathosim Trimming and Uphlstry,Face Cloth Masks,60.0,710.0,Each,2020-06-24,"R42,600.00",2020-06-25,"R42,600",42600,42600.0,South african social security agency,cloth masks,1.0,60.0,710.0
395,7616,KWAZULU NATAL - HEALTH,PPE001 Surgical masks for patients,AKSS Projects,0,11.75,200000.0,Each,2020-04-24,"R2,350,000.00",2020-11-08,"R2,350,000",2350000,2350000.0,Kwazulu natal - health,PPE001 Surgical masks for patients,1.0,11.75,200000.0
396,7617,KWAZULU NATAL - HEALTH,PPE001 Surgical masks for patients,Cargro Investment Holdings,0,11.68,200000.0,Each,2020-04-24,"R2,336,000.00",2020-11-08,"R2,336,000",2336000,2336000.0,Kwazulu natal - health,PPE001 Surgical masks for patients,1.0,11.68,200000.0
397,7618,KWAZULU NATAL - HEALTH,PPE001 Surgical masks for patients,Coffee Creative Studio,0,11.75,200000.0,Each,2020-04-24,"R2,350,000.00",2020-08-26,"R2,350,000",2350000,2350000.0,Kwazulu natal - health,PPE001 Surgical masks for patients,1.0,11.75,200000.0
398,7619,MKHONDO LOCAL MUNICIPALITY,PPE001 Surgical masks for patients,DARMAN TECHNOLOGIES,0,16.68,1750.0,Each,2020-04-24,"R29,181.25",2020-07-09,"R29,181",29181,29181.25,Mkhondo local municipality,PPE001 Surgical masks for patients,1.0,16.68,1750.0
399,7620,SOUTH AFRICAN REVENUE SERVICE,PPE001 Surgical masks for patients,MULTISURGE,0,460.0,177.0,Box of 50,2020-04-24,"R81,420.00",2020-07-07,"R81,420",81420,81420.0,South african revenue services,PPE001 Surgical masks for patients,50.0,9.2,8850.0
400,7621,BITOU MUNICIPALITY,PPE002 Surgical masks for healt care workers,Keabokamoso Construction Services,Surgical Mask- Disposable,30.0,400.0,Each,2020-04-24,"R12,000.00",2020-05-05,"R12,000",12000,12000.0,Bitou municipality,PPE002 Surgical masks for health care workers,1.0,30.0,400.0
401,7622,GAUTENG - OFFICER OF THE PREMIER,PPE002 Surgical masks for healt care workers,MAMPOSH TRADING ENTERPRISES,0,165.55,10.0,Box of 100,2020-04-24,"R195,600.00",2020-08-05,"R195,600",195600,195600.0,Gauteng - officer of the premier,PPE002 Surgical masks for health care workers,100.0,1.6555000000000002,1000.0
402,7623,GAUTENG - OFFICER OF THE PREMIER,PPE002 Surgical masks for healt care workers,OPULEM,0,41.0,2432.0,Box of 100,2020-04-24,"R145,555.50",2020-08-05,"R145,556",145556,145555.5,Gauteng - officer of the premier,PPE002 Surgical masks for health care workers,100.0,0.41,243200.0
403,7625,NATIONAL RESEARCH FOUNDATION,PPE003 Respirator mask,WURTH S.A CO,0,59.23,50.0,Each,2020-04-24,"R2,961.50",2020-05-15,"R2,962",2962,2961.5,National research foundation,"respirator masks (FFP2, N95)",1.0,59.23,50.0
404,7654,SOUTH AFRICAN NATIONAL PARK,PPE017 2 Layer fabric cloth masks,NALEDI CHEMICALS,0,30.0,60.0,Each,2020-04-24,"R1,800.00",2020-04-30,"R1,800",1800,1800.0,South african national parks,cloth masks,1.0,30.0,60.0
405,7655,DENEL (PTY) LTD,PPE018 3 Layer fabric cloth masks,IVYFOREVER TRADING,Cloth Mask,20.7,960.0,Each,2020-04-24,"R19,872.00",2020-06-17,"R19,872",19872,19872.0,Denel,cloth masks,1.0,20.7,960.0
406,7656,EASTERN CAPE - SOCIAL DEVELOPMENT AND SPECIAL PROGRAMMES,PPE018 3 Layer fabric cloth masks,Ian Robertson,0,40.0,45.0,Each,2020-04-24,"R1,800.00",2020-05-15,"R1,800",1800,1800.0,Eastern cape - social development and special programmes,cloth masks,1.0,40.0,45.0
407,7657,GAUTENG - ECONOMIC DEVELOPMENT,PPE018 3 Layer fabric cloth masks,Bakhadzi Hayani Cooperatives,0,100.0,100.0,Each,2020-04-24,"R10,000.00",2020-07-17,"R10,000",10000,10000.0,Gauteng - economic development,cloth masks,1.0,100.0,100.0
408,7658,NATIONAL RESEARCH FOUNDATION,PPE018 3 Layer fabric cloth masks,BRAND INNOVATION,0,33.5,250.0,Each,2020-04-24,"R8,375.00",2020-04-29,"R8,375",8375,8375.0,National research foundation,cloth masks,1.0,33.5,250.0
409,7659,SOUTH AFRICAN NATIONAL PARK,PPE018 3 Layer fabric cloth masks,XCO Group,0,25.0,6000.0,Each,2020-04-24,"R150,000.00",2020-05-23,"R150,000",150000,150000.0,South african national parks,cloth masks,1.0,25.0,6000.0
410,7741,GEORGE MUNICIPALITY,PPE001 Surgical masks for patients,AFRISHORE LIFTING AND RIGGING,Surgical Face Mask - 3M,35.5,1500.0,Each,2020-03-24,"R53,250.00",2020-04-17,"R53,250",53250,53250.0,George municipality,PPE001 Surgical masks for patients,1.0,35.5,1500.0
411,7742,GEORGE MUNICIPALITY,PPE001 Surgical masks for patients,AFRISHORE LIFTING AND RIGGING,Surgical Face Mask - 3M,17.75,2000.0,Each,2020-03-24,"R35,500.00",2020-04-17,"R35,500",35500,35500.0,George municipality,PPE001 Surgical masks for patients,1.0,17.75,2000.0
412,7744,GAUTENG - CRADLE OF HUMANKIND WORLD HERITAGE SITE,PPE002 Surgical masks for healt care workers,Liora Medical Supplies CC,0,5.35,20.0,Each,2020-03-24,"R3,210.00",,R0,0,3210.0,Gauteng - cradle of humankind world heritage site,PPE002 Surgical masks for health care workers,1.0,5.35,20.0
413,7745,KWAZULU NATAL - HEALTH,PPE002 Surgical masks for healt care workers,Iphakhade Trading (Pty) Ltd,0,12.5,100000.0,Each,2020-03-24,"R1,250,000.00",,"R1,250,000",1250000,1250000.0,Kwazulu natal - health,PPE002 Surgical masks for health care workers,1.0,12.5,100000.0
414,7746,INTERFRONT,PPE003 Respirator mask,LECHOBA MEDICAL TECHNOLOGIES,0,18.75,40.0,Each,2020-03-24,R749.80,2020-06-20,R750,750,749.8,Interfront,"respirator masks (FFP2, N95)",1.0,18.75,40.0
415,7747,KWAZULU NATAL - HEALTH,PPE003 Respirator mask,Iphakhade Trading (Pty) Ltd,0,57.0,10000.0,Each,2020-03-24,"R570,000.00",,"R570,000",570000,570000.0,Kwazulu natal - health,"respirator masks (FFP2, N95)",1.0,57.0,10000.0
416,7905,DEPARTMENT OF CORRECTIONAL SERVICES,PPE003 Respirator mask,LIORA MEDICAL SUPPLIES,0,21.0,15050.0,Each,2020-12-23,"R316,050.00",2021-01-19,"R316,050",316050,316050.0,Department of correctional services,"respirator masks (FFP2, N95)",1.0,21.0,15050.0
417,7986,CENTRAL KAROO DISTRICT MUNICIPALITY,PPE001 Surgical masks for patients,Bidvest Waltons George,0,15.9,3000.0,Box of 50,2020-11-23,"R54,855.00",,"R54,855",54855,54855.0,Central karoo district municipality,PPE001 Surgical masks for patients,50.0,0.318,150000.0
418,7987,SASSA EC REGION,PPE001 Surgical masks for patients,Gulu Guru Construction And Projects (Pty) Ttd,0,11.0,42.0,Box of 50,2020-11-23,"R23,100.00",,R0,0,23100.0,Eastern cape - south african social security agency,PPE001 Surgical masks for patients,50.0,0.22,2100.0
419,7988,ELECTORAL COMMISSION,PPE002 Surgical masks for healt care workers,OR Flexi Medical Suppliers (Pty) Ltd,0,175.0,800.0,Box of 50,2020-11-23,"R140,000.00",2020-11-30,"R140,000",140000,140000.0,Electoral commission (iec),PPE002 Surgical masks for health care workers,50.0,3.5,40000.0
420,7991,HOME AFFAIRS,PPE003 Respirator mask,ITHUTENG INVESTMENTS AND PROJECTS,0,200.5,400.0,Box of 50,2020-11-23,"R80,200.00",2020-12-20,"R80,200",80200,80200.0,Home affairs,"respirator masks (FFP2, N95)",50.0,4.01,20000.0
421,7996,SASSA EC REGION,PPE018 3 Layer fabric cloth masks,Gulu Guru Construction And Projects (Pty) Ttd,0,25.0,650.0,Each,2020-11-23,"R16,250.00",,R0,0,16250.0,Eastern cape - south african social security agency,cloth masks,1.0,25.0,650.0
422,7997,UMZIMKHULU MUNICIPALITY,PPE018 3 Layer fabric cloth masks,Orap Medical Supplies (Pty) Ltd,0,75.0,300.0,Each,2020-11-23,"R22,500.90",2020-10-12,"R22,501",22501,22500.9,Umzimkhulu municipality,cloth masks,1.0,75.0,300.0
423,7998,UMZIMKHULU MUNICIPALITY,PPE018 3 Layer fabric cloth masks,Orap Medical Supplies (Pty) Ltd,Branded,86.25,300.0,Each,2020-11-23,"R25,875.00",2020-10-12,"R25,875",25875,25875.0,Umzimkhulu municipality,cloth masks,1.0,86.25,300.0
424,8063,ESKOM KOEBERG NUCLEAR POWER STATION,PPE001 Surgical masks for patients,Gloobi,0,2.2,10000.0,Each,2020-10-23,"R22,000.00",2020-10-27,"R22,000",22000,22000.0,Eskom koeberg nuclear power station,PPE001 Surgical masks for patients,1.0,2.2,10000.0
425,8064,NORTHERN CAPE DEPARTMENT OF EDUCATION,PPE001 Surgical masks for patients,TG FELLAS TRADING AND SOLUTIONS,Toilet Paper,295.0,460.0,Box of 50,2020-10-23,"R135,700.00",2020-04-12,"R135,700",135700,135700.0,Northern cape - education,PPE001 Surgical masks for patients,50.0,5.9,23000.0
426,8065,CITY OF CAPE TOWN,PPE003 Respirator mask,SALLVIT TRADING 60,0,70.8,6000.0,Each,2020-10-23,"R424,800.00",2020-12-11,"R49,056",49056,424800.0,City of cape town,"respirator masks (FFP2, N95)",1.0,70.8,6000.0
427,8082,SA POLICE SERVICE,PPE017 2 Layer fabric cloth masks,Dr Love Foundation,0,22.0,24415.0,Each,2020-10-23,"R537,130.00",2020-10-29,"R537,130",537130,537130.0,Sa police service,cloth masks,1.0,22.0,24415.0
428,8179,GAUTENG DEPARTMENT OF SOCIAL DEVELOPMENT,PPE002 Surgical masks for healt care workers,EVERGREEN LATEX,0,125.0,100.0,Box of 100,2020-09-23,"R12,500.00",,R0,0,12500.0,Gauteng - social development,PPE002 Surgical masks for health care workers,100.0,1.25,10000.0
429,8180,GAUTENG DEPARTMENT OF SOCIAL DEVELOPMENT,PPE002 Surgical masks for healt care workers,TRIPPLE N MEDICAL DISTRIBUTORS,0,10.0,2100.0,Each,2020-09-23,"R21,000.00",,R0,0,21000.0,Gauteng - social development,PPE002 Surgical masks for health care workers,1.0,10.0,2100.0
430,8181,GAUTENG DEPARTMENT OF SOCIAL DEVELOPMENT,PPE002 Surgical masks for healt care workers,LIORA MEDICAL SUPPLIES,0,4.01,3804.0,Each,2020-09-23,"R15,398.40",,R0,0,15398.4,Gauteng - social development,PPE002 Surgical masks for health care workers,1.0,4.01,3804.0
431,8182,WEST RAND DISTRICT MUNICIPALITY,PPE002 Surgical masks for health care workers,Ave and Uzu Service,0,10.85,1500.0,Each,2020-09-23,"R16,275.00",,"R16,275",16275,16275.0,West rand district municipality,PPE002 Surgical masks for health care workers,1.0,10.85,1500.0
432,8189,DENEL (PTY) LTD,PPE018 3 Layer fabric cloth masks,Zekhethelo Freight Services,3 layer cloth Mask,16.53,400.0,Each,2020-09-23,"R6,612.00",2020-09-27,"R6,612",6612,6612.0,Denel,cloth masks,1.0,16.53,400.0
433,8190,DEPARTMEN OF EDUCATION,PPE018 3 Layer fabric cloth masks,SHIMUNYANI TRADING AND PROJECTS,0,25.0,16950.0,Each,2020-09-23,"R149,160.00",2020-03-11,"R149,160",149160,149160.0,Department of education,cloth masks,1.0,25.0,16950.0
434,8191,ELECTORAL COMMISSION,PPE018 3 Layer fabric cloth masks,FORMAX STATIONERY AND MEDIA,0,24.98,200.0,Each,2020-09-23,"R4,996.00",2020-09-10,"R4,996",4996,4996.0,Electoral commission (iec),cloth masks,1.0,24.98,200.0
435,8192,KWAZULU NATAL - ARTS AND CULTURE,PPE018 3 Layer fabric cloth masks,BSN Trading Enterprise,0,23.0,1582.0,Each,2020-09-23,"R36,386.00",,R0,0,36386.0,Kwazulu natal - arts and culture,cloth masks,1.0,23.0,1582.0
436,8414,SOUTH AFRICAN LOCAL GOVERNMENT ASSOCIATION,PPE017 2 Layer fabric cloth masks,Hashtag Marketing,0,38.12,100.0,Each,2020-07-23,"R15,867.70",2020-09-15,"R15,868",15868,15867.7,South african local government association,cloth masks,1.0,38.12,100.0
437,8415,SOUTH AFRICAN LOCAL GOVERNMENT ASSOCIATION,PPE017 2 Layer fabric cloth masks,KHARTYE PROMOTIONS ENTERPRISE,0,29.13,200.0,Each,2020-07-23,R0.00,2020-08-15,"R52,867",52867,0.0,South african local government association,cloth masks,1.0,29.13,200.0
438,8553,GAUTENG - HEALTH,Mask dust FFP2 twin strap convex,STAS INVESTMENTS,0,49.45,10000.0,Box of 100,2020-06-23,"R494,500.00",2020-07-13,"R494,500",494500,494500.0,Gauteng - health,"respirator masks (FFP2, N95)",100.0,0.49450000000000005,1000000.0
439,8649,DEFENCE,PPE001 Surgical masks for patients,Gwenzido,0,18.0,60000.0,Each,2020-06-23,"R29,221.00",2020-07-02,"R29,221",29221,29221.0,Defence,PPE001 Surgical masks for patients,1.0,18.0,60000.0
440,8651,DEFENCE,PPE001 Surgical masks for patients,Mokgatshelwa Trading,0,12.0,60000.0,Each,2020-06-23,"R29,221.00",2020-07-02,"R29,221",29221,29221.0,Defence,PPE001 Surgical masks for patients,1.0,12.0,60000.0
441,8657,ETHEKWINI MUNICIPALITY,PPE002 Surgical masks for healt care workers,CALIDIN TRADING PTY LTD,MASK SURGICAL,4.49,37000.0,Each,2020-06-23,"R166,130.00",2020-09-07,"R191,050",191050,166130.0,Ethekwini municipality,PPE002 Surgical masks for health care workers,1.0,4.49,37000.0
442,8658,ETHEKWINI MUNICIPALITY,PPE002 Surgical masks for healt care workers,DRAKEWOODS PINETOWN,Masks Surgical (50's) 3 ply,165.0,30.0,Each,2020-06-23,"R4,950.00",2020-07-16,"R5,693",5693,4950.0,Ethekwini municipality,PPE002 Surgical masks for health care workers,1.0,165.0,30.0
443,8659,NATIONAL DEPARTMENT OF HEALTH,PPE002 Surgical masks for healt care workers,Bizrocket Trade and Projects,0,37.8,4500.0,Each,2020-06-23,"R170,100.00",2020-07-08,"R170,100",170100,170100.0,Department of health,PPE002 Surgical masks for health care workers,1.0,37.8,4500.0
444,8674,COMPETITION TRIBUNAL,PPE017 2 Layer fabric cloth masks,Green Outdoor Gyms,0,23.0,100.0,Each,2020-06-23,"R2,300.00",2020-07-15,"R2,300",2300,2300.0,Competition tribunal,cloth masks,1.0,23.0,100.0
445,8676,BERGRIVIER MUNICIPALITY,PPE018 3 Layer fabric cloth masks,KAAP AGRI BEDRYF,0,39.21,58.0,Each,2020-06-23,"R2,274.24",,"R2,198",2198,2274.24,Bergrivier municipality,cloth masks,1.0,39.21,58.0
446,8677,MTHONJANENI LOCAL MUNICIPALITY,PPE018 3 Layer fabric cloth masks,Bargain Uniforms & Sports,0,32.2,15000.0,Each,2020-06-23,"R483,000.00",2020-07-23,"R483,000",483000,483000.0,Mthonjaneni local municipality,cloth masks,1.0,32.2,15000.0
447,8724,DENEL (PTY) LTD,PPE018 3 Layer fabric cloth masks,Agricultural Rural Development Services Pty (Ltd),Cloth Mask,40.0,50.0,Each,2020-05-23,"R2,000.00",2020-06-26,"R2,000",2000,2000.0,Denel,cloth masks,1.0,40.0,50.0
448,8763,GAUTENG - HEALTH,Mask face surgical with ties 3 ply,MULTISURGE,0,690.0,300.0,Box of 100,2020-04-23,"R207,000.00",2020-06-22,R0,0,207000.0,Gauteng - health,Uncategorized masks,100.0,6.9,30000.0
449,8803,EASTERN CAPE - SOCIAL DEVELOPMENT AND SPECIAL PROGRAMMES,PPE001 Surgical masks for patients,Zondiphase,0,37.5,20000.0,Each,2020-04-23,"R750,000.00",2020-12-05,"R750,000",750000,750000.0,Eastern cape - social development and special programmes,PPE001 Surgical masks for patients,1.0,37.5,20000.0
450,8806,MODIMOLLE-MOOKGOPHONG LOCAL MUNICIPALITY,PPE001 Surgical masks for patients,MASHALANE FAMILY HOLDINGS,0,135.0,6000.0,Each,2020-04-23,"R810,000.00",,"R810,000",810000,810000.0,Modimolle-mookgophong local municipality,PPE001 Surgical masks for patients,1.0,135.0,6000.0
451,8807,MOSSEL BAY MUNICIPALITY,PPE001 Surgical masks for patients,Q Tique 211,0,1437.5,100.0,Box of 50,2020-04-23,"R143,750.00",2020-04-30,"R143,750",143750,143750.0,Mossel bay municipality,PPE001 Surgical masks for patients,50.0,28.75,5000.0
452,8808,SEDIBENG WATER,PPE001 Surgical masks for patients,Bidvest Steiner Hygiene Kimberley,0,43.48,2.0,Box of 100,2020-04-23,"R10,000.40",,R43,43,10000.4,Sedibeng water,PPE001 Surgical masks for patients,100.0,0.43479999999999996,200.0
453,8809,SEDIBENG WATER,PPE001 Surgical masks for patients,Bidvest Steiner Hygiene Kimberley,0,43.48,2.0,Box of 100,2020-04-23,"R10,000.40",2020-05-25,R43,43,10000.4,Sedibeng water,PPE001 Surgical masks for patients,100.0,0.43479999999999996,200.0
454,8810,SOUTH AFRICAN REVENUE SERVICE,PPE001 Surgical masks for patients,Tripple -N,0,651.0,123.0,Box of 50,2020-04-23,"R80,073.00",2020-05-26,"R80,073",80073,80073.0,South african revenue services,PPE001 Surgical masks for patients,50.0,13.02,6150.0
455,8811,ALL WCG DEPARTMENTS,PPE002 Surgical masks for healt care workers,TRIPLE N MEDICAL DISTRIBUTORS,Mask Surgical/medical,0.26,100000.0,Each,2020-04-23,"R27,200.00",,R0,0,27200.0,All wcg departments,PPE002 Surgical masks for health care workers,1.0,0.26,100000.0
456,8812,BITOU MUNICIPALITY,PPE002 Surgical masks for healt care workers,Clean Queenz Laundry,Surgical Mask- Disposable,25.0,400.0,Each,2020-04-23,"R10,000.00",2020-04-29,"R10,000",10000,10000.0,Bitou municipality,PPE002 Surgical masks for health care workers,1.0,25.0,400.0
457,8813,CAPE WINELANDS DISTRICT MUNICIPALITY,PPE002 Surgical masks for healt care workers,Startune (Pty) Ltd,0,323.64,5000.0,Box of 50,2020-04-23,"R1,861,200.00",2020-05-29,"R1,861,200",1861200,1861200.0,Cape winelands district municipality,PPE002 Surgical masks for health care workers,50.0,6.472799999999999,250000.0
458,8814,CAPE WINELANDS DISTRICT MUNICIPALITY,PPE002 Surgical masks for healt care workers,WESTERN CAPE STATIONERS,0,97.38,50000.0,Box of 50,2020-04-23,"R5,599,350.00",2020-06-30,"R5,599,350",5599350,5599350.0,Cape winelands district municipality,PPE002 Surgical masks for health care workers,50.0,1.9476,2500000.0
459,8815,KING SABATA DALINDYEBO LOCAL MUNICIPALITY,PPE002 Surgical masks for healt care workers,Yizanisakhe textile primary coop,0,12.0,1000.0,Box of 50,2020-04-23,"R12,000.00",2020-08-27,R0,0,12000.0,King sabata dalindyebo local municipality,PPE002 Surgical masks for health care workers,50.0,0.24,50000.0
460,8816,ALL WCG DEPARTMENTS,PPE003 Respirator mask,RAPITRADE 458 PTY LTD,Masks Respirator N95,19.76,500000.0,Each,2020-04-23,"R1,840,000.00",,R0,0,1840000.0,All wcg departments,"respirator masks (FFP2, N95)",1.0,19.76,500000.0
461,8817,ALL WCG DEPARTMENTS,PPE003 Respirator mask,RAPITRADE 458 PTY LTD,Masks Respirator N95,21.91,500000.0,Each,2020-04-23,"R83,093.25",2020-05-22,"R81,505",81505,83093.25,All wcg departments,"respirator masks (FFP2, N95)",1.0,21.91,500000.0
462,8818,ALL WCG DEPARTMENTS,PPE003 Respirator mask,HG TRAVELLING SERVICES,Masks Respirator N95,48.0,60000.0,Each,2020-04-23,"R3,783.50",,R0,0,3783.5,All wcg departments,"respirator masks (FFP2, N95)",1.0,48.0,60000.0
463,8834,LEGAL AID SA,PPE017 2 Layer fabric cloth masks,Maskup Protective Mask Manufacturers,0,100.0,6.0,Each,2020-04-23,R600.00,,R600,600,600.0,Legal aid south africa,cloth masks,1.0,100.0,6.0
464,8835,LEGAL AID SOUTH AFRICA,PPE017 2 Layer fabric cloth masks,Maskup Protective Mask Manufacturers,0,100.0,6.0,Each,2020-04-23,R600.00,2020-04-23,R600,600,600.0,Legal aid south africa,cloth masks,1.0,100.0,6.0
465,8836,INGQUZA HILL LOCAL MUNICIPALITY,PPE018 3 Layer fabric cloth masks,Zandiphase,0,55.0,2000.0,Box of 100,2020-04-23,"R110,000.00",2020-07-15,"R110,000",110000,110000.0,Ingquza hill local municipality,cloth masks,100.0,0.55,200000.0
466,8837,INGQUZA HILL LOCAL MUNICIPALITY,PPE018 3 Layer fabric cloth masks,Fedility Cleaning Services,Branded Cloth Masks,52.0,1000.0,Each,2020-04-23,"R60,662.50",2020-06-15,"R60,662",60662,60662.5,Ingquza hill local municipality,cloth masks,1.0,52.0,1000.0
467,8839,TRANSPORT,PPE018 3 Layer fabric cloth masks,Amet Furnishings,0,69.0,1500.0,Each,2020-04-23,"R103,500.00",2020-09-07,"R103,500",103500,103500.0,Transport,cloth masks,1.0,69.0,1500.0
468,8911,BERGRIVIER MUNICIPALITY,DUST MASKS,WAYMAKER SHE SUPPORT SERVICES,0,85.5,100.0,Each,2020-03-23,"R8,550.00",2020-03-26,"R8,550",8550,8550.0,Bergrivier municipality,Uncategorized masks,1.0,85.5,100.0
469,8934,DENEL (PTY) LTD,PPE001 Surgical masks for patients,PEOPLE ARCHIEVE,0,77.28,30.0,Box of 50,2020-03-23,"R2,318.40",2020-04-15,"R2,318",2318,2318.4,Denel,PPE001 Surgical masks for patients,50.0,1.5456,1500.0
470,8935,SOUTH AFRICAN REVENUE SERVICE,PPE001 Surgical masks for patients,SAWAB FREIGHT,0,29.33,135.0,Each,2020-03-23,"R3,959.55",,"R3,960",3960,3959.55,South african revenue services,PPE001 Surgical masks for patients,1.0,29.33,135.0
471,8936,DIPALESENG LOCAL MUNICIPALITY,PPE002 Surgical masks for healt care workers,Ui Brands,0,71.98,500.0,Each,2020-03-23,"R35,990.00",2020-08-05,"R35,990",35990,35990.0,Dipaleseng local municipality,PPE002 Surgical masks for health care workers,1.0,71.98,500.0
472,8937,MPUMALANGA - HEALTH,PPE002 Surgical masks for healt care workers,TARA TECHNOLOGIES,0,47.0,30000.0,Each,2020-03-23,"R4,699,999.40",2020-04-20,"R1,410,000",1410000,4699999.4,Mpumalanga - health,PPE002 Surgical masks for health care workers,1.0,47.0,30000.0
473,8938,MPUMALANGA - HEALTH,PPE002 Surgical masks for healt care workers,MULTISURGE,0,13.8,40000.0,Each,2020-03-23,"R2,760,000.00",2020-04-20,"R552,000",552000,2760000.0,Mpumalanga - health,PPE002 Surgical masks for health care workers,1.0,13.8,40000.0
474,8939,NORTH WEST TOURISM BOARD,PPE002 Surgical masks for healt care workers,GIDEON  GUARD INNO TEXTILES (PTY) LTD,0,1250.0,12.0,Box of 50,2020-03-23,"R15,000.00",2020-03-31,"R15,000",15000,15000.0,North west - parks and tourism board,PPE002 Surgical masks for health care workers,50.0,25.0,600.0
475,8940,NORTHERN CAPE - COOPERATIVE GOVERNANCE HUMAN SETTLEMENT AND TRADITIONAL AFFAIRS,PPE002 Surgical masks for healt care workers,KEMOAGILE CONSTRUCTION MANAGEMENT,0,245.0,100.0,Box of 50,2020-03-23,"R24,500.00",2020-03-25,"R17,150",17150,24500.0,Northern cape - cooperative governance human settlement and traditional affairs,PPE002 Surgical masks for health care workers,50.0,4.9,5000.0
476,8941,THULAMELA MUNICIPALITY,PPE002 Surgical masks for healt care workers,Biological Phamaceuticals,0,26.5,20501000.0,Box of 50,2020-03-23,"R26,650.00",2020-04-20,"R26,650",26650,26650.0,Thulamela municipality,PPE002 Surgical masks for health care workers,50.0,0.53,1025050000.0
477,8942,UMZIMKHULU MUNICIPALITY,PPE002 Surgical masks for healt care workers,Giya Trading 5 cc,0,125.0,10.0,Box of 50,2020-03-23,"R1,250.00",2020-03-26,"R1,250",1250,1250.0,Umzimkhulu municipality,PPE002 Surgical masks for health care workers,50.0,2.5,500.0
478,8965,BERGRIVIER MUNICIPALITY,PPE018 3 Layer fabric cloth masks,WAYMAKER SHE SUPPORT SERVICES,0,57.0,100.0,Each,2020-03-23,"R5,700.00",,"R5,700",5700,5700.0,Bergrivier municipality,cloth masks,1.0,57.0,100.0
479,8966,KWAZULU NATAL - TRANSPORT,PPE018 3 Layer fabric cloth masks,LIQUID RELATIONS,0,36.8,3000.0,Each,2020-03-23,"R110,400.00",2020-05-19,"R110,400",110400,110400.0,Kwazulu natal - transport,cloth masks,1.0,36.8,3000.0
480,9077,TECHNOLOGY INNOVATION AGENCY,Disposable 3ply mask,ESSENTIAL PRINTERS CONUMMABLES,0,190.0,1.0,Box of 100,2020-02-23,R218.50,2020-12-03,R0,0,218.5,Technology innovation agency,Uncategorized masks,100.0,1.9,100.0
481,9106,DEPARTMENT OF CORRECTIONAL SERVICES,PPE001 Surgical masks for patients,Chemical World,0,3.82,5000.0,Each,2020-12-22,"R19,110.00",2021-01-29,"R19,110",19110,19110.0,Department of correctional services,PPE001 Surgical masks for patients,1.0,3.82,5000.0
482,9240,SWARTLAND MUNICIPALITY,PPE017 2 Layer fabric cloth masks,JHL Engineers,0,13.18,100.0,Each,2020-09-22,"R1,317.90",,R0,0,1317.9,Swartland municipality,cloth masks,1.0,13.18,100.0
483,9241,HOME AFFAIRS,PPE018 3 Layer fabric cloth masks,Ubucubu Home Industries,0,20.0,450.0,Each,2020-09-22,"R9,000.00",,"R9,000",9000,9000.0,Home affairs,cloth masks,1.0,20.0,450.0
484,9242,NORTH WEST - DEPARTMENT OF EDUCATION AND SPORT DEVELOPMENT,PPE018 3 Layer fabric cloth masks,MOLEKO CONSULTING CONCEPTS,0,25.0,40000.0,Each,2020-09-22,"R990,000.00",2020-01-09,"R990,000",990000,990000.0,North west - education and sport development,cloth masks,1.0,25.0,40000.0
485,9243,NORTH WEST - DEPARTMENT OF EDUCATION AND SPORT DEVELOPMENT,PPE018 3 Layer fabric cloth masks,MIB SPORTWEAR ND EQUIPMENT,0,25.0,40000.0,Each,2020-09-22,"R959,100.00",2020-09-15,"R959,100",959100,959100.0,North west - education and sport development,cloth masks,1.0,25.0,40000.0
